network:,pyramidnet,depth,164,Loss:CrossEntropy,Dataset:,cifar10,Optimizer:,dngd,LearningRate:,0.1,BatchSize:,128,EpochRange:,300
Epoch,Train_Loss,Train_Accuracy,Train_Time
1,1.6519060022080951,46.142,166.3
2,1.206543403970616,68.878,335.6
3,1.0543920182815902,76.166,510.2
4,0.9864729418778968,79.146,684.6
5,0.9468740816311458,80.994,853.7
6,0.9206055893617517,82.026,1024.6
7,0.9105748113463906,82.542,1195.7
8,0.8952134968069814,83.21,1365.5
9,0.8881137153071821,83.442,1537.5
10,0.8780201466187186,84.036,1710.1
11,0.7313169905596681,90.578,1881.9
12,0.6906867666012796,92.318,2048.2
13,0.6755495121716844,92.946,2215.6
14,0.6597687780399761,93.546,2383.5
15,0.6514352685045404,93.932,2551.2
16,0.6402531183894028,94.492,2716.5
17,0.6346445050081024,94.672,2884.7
18,0.6290700862474758,94.816,3049.9
19,0.6241085997322942,95.126,3218.5
20,0.6164539784116818,95.38,3390.1
21,0.61608168536135,95.414,3565.6
22,0.6136021391510049,95.522,3739.4
23,0.6126960130298839,95.57,3909.3
24,0.608834730694666,95.656,4084.3
25,0.6085907469320175,95.644,4250.7
26,0.6084652468371574,95.712,4424.6
27,0.6062998317391671,95.778,4599.7
28,0.6043921446861209,95.774,4775.6
29,0.6050800467696031,95.824,4950.3
30,0.605722658774432,95.772,5129.6
31,0.5648489699644201,97.618,5302.6
32,0.5491223502951814,98.338,5476.6
33,0.5434583998702066,98.582,5647.5
34,0.5376843567699423,98.824,5819.6
35,0.5371206975958841,98.822,5991.1
36,0.5339644150355892,98.984,6162.9
37,0.5313763452307952,99.094,6325.7
38,0.5304564900715333,99.108,6496.9
39,0.5280298776638782,99.176,6650.7
40,0.525237890155724,99.314,6821.6
41,0.5260472982131001,99.256,6989.1
42,0.5256291417514577,99.256,7148.4
43,0.5236120365769662,99.352,7319.9
44,0.5227278265196954,99.412,7491.6
45,0.5215533514461859,99.444,7666.4
46,0.5212600318062336,99.43,7833.2
47,0.5215449500876619,99.39,7999.7
48,0.5198584874267773,99.472,8172.8
49,0.5198986159870996,99.468,8340.2
50,0.5191891954073211,99.498,8516.0
51,0.5171662126965535,99.586,8686.7
52,0.5165730492233316,99.622,8854.9
53,0.5169966182745326,99.594,9025.7
54,0.5168023357915756,99.57,9196.3
55,0.5165346088006978,99.578,9363.6
56,0.516024184348943,99.632,9534.0
57,0.5158889798252174,99.638,9699.9
58,0.515791884621086,99.622,9866.2
59,0.5148064850846215,99.682,10034.8
60,0.5160479705656886,99.618,10203.7
61,0.5151483870833121,99.658,10378.4
62,0.5151901964641288,99.652,10548.5
63,0.5155796873599977,99.658,10719.1
64,0.5158734414583582,99.624,10894.2
65,0.5146054928869848,99.686,11068.2
66,0.5149137671951138,99.654,11242.3
67,0.5144765909065676,99.68,11413.8
68,0.5140934440181079,99.726,11581.3
69,0.5146270938541578,99.698,11742.7
70,0.5140840374600247,99.694,11898.0
71,0.5141706922475029,99.676,12069.9
72,0.5142076776155731,99.714,12236.3
73,0.514619077867864,99.676,12407.3
74,0.514464537963233,99.686,12579.9
75,0.5138373102068596,99.712,12752.1
76,0.513724076321058,99.738,12923.7
77,0.514507558339697,99.682,13094.1
78,0.5130731567092564,99.736,13262.5
79,0.5139713945900998,99.686,13420.4
80,0.5138264121606831,99.692,13586.5
81,0.5129847915276237,99.766,13745.1
82,0.5135146919113901,99.734,13910.9
83,0.5134239212021499,99.738,14075.6
84,0.5133839412723356,99.73,14238.4
85,0.5141540337401582,99.694,14400.2
86,0.5130865419917094,99.736,14572.3
87,0.5134906861788172,99.718,14742.9
88,0.5138011817127237,99.684,14902.7
89,0.5127815817628065,99.762,15072.7
90,0.5134171526450331,99.706,15241.4
91,0.5135264869236276,99.712,15405.2
