network:,resnet,depth,20,Loss:CrossEntropy,Dataset:,cifar10,Optimizer:,dngd,LearningRate:,0.1,BatchSize:,128,EpochRange:,300
Epoch,Train_Loss,Train_Accuracy,Train_Time
1,2.070689448005403,25.528,58.3
2,1.7166493564005703,42.44,114.2
3,1.4793808100473544,55.134,169.6
4,1.2662552025007165,65.904,224.7
5,1.1379523444968416,72.26,279.6
6,1.078430469383669,75.112,333.9
7,1.036764865641094,77.054,388.8
8,1.0131634882344005,78.202,443.6
9,0.9965319028290947,79.02,497.4
10,0.971286990148637,79.93,551.8
11,0.849973722034708,85.21,606.6
12,0.8150004081408996,86.784,662.0
13,0.800918803952844,87.376,716.4
14,0.788073248722974,87.792,771.3
15,0.7785558439886479,88.28,825.9
16,0.7716417085484165,88.408,882.4
17,0.7667172944454281,88.806,938.5
18,0.7622267452957076,88.992,994.9
19,0.7565163942554113,89.188,1052.6
20,0.7525167195388424,89.408,1107.8
21,0.7473387417890837,89.442,1163.2
22,0.7418833609737093,89.896,1220.3
23,0.7393575088142434,90.01,1276.2
24,0.7340709263711329,90.41,1331.8
25,0.7320420918867107,90.29,1387.9
26,0.7285226379209162,90.488,1443.7
27,0.7258855927630764,90.536,1499.6
28,0.7254135626966082,90.644,1555.5
29,0.7236330801873561,90.748,1612.7
30,0.7194841560500357,90.714,1668.4
31,0.6760030891889196,92.876,1724.0
32,0.6624789629750849,93.592,1779.8
33,0.6595211192165189,93.798,1835.9
34,0.6560409973039651,93.844,1892.0
35,0.6538751817420315,93.914,1948.0
36,0.6514037847518921,93.994,2003.1
37,0.648837927357315,94.19,2060.1
38,0.6486509295985522,94.106,2115.1
39,0.6465480295593476,94.272,2170.2
40,0.6444471728466356,94.38,2226.2
41,0.6428018645252414,94.386,2281.6
42,0.6416541034608241,94.582,2337.3
43,0.6410952719581097,94.488,2394.9
44,0.6392579363740009,94.642,2451.2
45,0.6384034290947878,94.622,2506.8
46,0.6363617616236362,94.794,2562.5
47,0.6346564654194181,94.788,2618.9
48,0.635063446086386,94.734,2674.8
49,0.6336183985480872,94.878,2730.0
50,0.6325207166659558,94.904,2784.8
51,0.6271257751128253,95.218,2840.4
52,0.6263786014693472,95.274,2895.3
53,0.6249051176373611,95.242,2951.3
54,0.6252692448513587,95.366,3007.2
55,0.62537844970708,95.256,3063.9
56,0.6232857015126806,95.392,3120.5
57,0.6239624877110161,95.362,3177.0
58,0.6241046164346777,95.35,3233.8
59,0.625432192059734,95.276,3289.5
60,0.6220094459441007,95.42,3345.8
61,0.6218357619727054,95.478,3401.6
62,0.6230151901769516,95.382,3458.3
63,0.6231538616787747,95.39,3515.0
64,0.6235613397625096,95.442,3572.0
65,0.6219268547909339,95.51,3628.8
66,0.6217952045943121,95.448,3680.5
67,0.6223138680543436,95.428,3736.6
68,0.6227011096751903,95.456,3793.2
69,0.6231249055594129,95.362,3849.4
70,0.6204492422320959,95.5,3905.4
71,0.620688857934664,95.518,3961.8
72,0.6208847634627691,95.428,4017.9
73,0.6219141812580625,95.398,4074.7
74,0.6215846477567083,95.512,4131.1
75,0.6222679861976058,95.42,4188.1
76,0.6200827933333414,95.548,4244.2
77,0.6217612999174601,95.392,4300.9
78,0.6202433455325759,95.486,4357.8
79,0.6199509955733024,95.58,4413.5
80,0.6187153595792668,95.646,4469.7
81,0.6193553962366051,95.604,4526.6
82,0.6190177103137726,95.466,4583.2
83,0.6202392759530441,95.594,4639.9
84,0.6208105759547494,95.506,4696.6
85,0.6211137518553478,95.46,4753.6
86,0.6201386715445067,95.508,4805.8
87,0.6193841685114614,95.576,4862.8
88,0.6193584802815372,95.566,4919.5
89,0.6194577534180468,95.564,4976.3
90,0.6189401317435457,95.61,5031.3
91,0.6187988656865971,95.536,5087.5
92,0.6194088881277977,95.53,5143.4
93,0.6191311762156084,95.586,5199.3
94,0.6185514154031758,95.614,5255.9
95,0.6172741342078695,95.726,5312.5
96,0.6182498026381978,95.584,5369.6
97,0.6182721685570525,95.562,5426.7
98,0.6166970429518034,95.69,5483.7
99,0.6180048200785352,95.584,5540.4
100,0.6174868110500639,95.594,5596.9
101,0.6164379028408119,95.664,5653.4
102,0.617665302418077,95.706,5710.3
103,0.6161120617786027,95.742,5766.7
104,0.6180898495342421,95.598,5822.5
105,0.6151191674534927,95.746,5880.0
106,0.6187211535775753,95.566,5937.1
107,0.6156728380476423,95.738,5992.1
108,0.6174849283969616,95.684,6042.9
109,0.6150375851584823,95.7,6096.2
110,0.617316580946793,95.63,6152.6
111,0.6163798043185182,95.772,6207.6
112,0.6177550382016564,95.584,6263.5
113,0.6174036858941588,95.626,6319.5
114,0.6168903511808351,95.658,6374.5
115,0.6158929354394488,95.7,6430.7
116,0.6172635797649393,95.598,6487.3
117,0.6162072468901534,95.748,6543.9
118,0.6160448867341747,95.62,6600.6
119,0.6169313995734506,95.658,6656.7
120,0.6163185206825471,95.752,6713.1
121,0.6179023941459558,95.57,6769.3
122,0.6163959250120861,95.71,6826.1
123,0.6175160580278968,95.67,6882.5
124,0.6153053961446523,95.806,6937.4
125,0.6157442174299294,95.716,6987.2
126,0.6180171010744236,95.58,7043.5
127,0.6169837902269095,95.678,7100.3
128,0.6166292003658421,95.682,7156.5
129,0.6176947160145206,95.568,7213.1
130,0.6169704531159852,95.69,7269.0
131,0.6172768238865202,95.644,7325.3
132,0.6158404109423118,95.676,7381.9
133,0.6152925642250139,95.778,7435.4
134,0.6159667159285387,95.738,7492.0
135,0.6167034482407143,95.634,7542.7
136,0.6165552021902235,95.612,7600.0
137,0.6166935689613947,95.712,7656.8
138,0.6181859441120606,95.542,7712.5
139,0.6165232179719774,95.676,7769.2
140,0.6166773557358081,95.644,7826.0
141,0.6160183059589942,95.674,7882.5
142,0.6152327685709804,95.728,7939.0
143,0.6166094113188936,95.716,7995.7
144,0.6152821578028257,95.784,8052.2
145,0.6154995304544258,95.772,8108.9
146,0.6151912713904515,95.76,8165.0
147,0.6164222085262503,95.692,8219.0
148,0.6146430168920161,95.774,8276.3
149,0.615327073942365,95.674,8332.7
150,0.6161215290084214,95.662,8389.4
151,0.6143070462414676,95.848,8445.8
152,0.6146996071576463,95.688,8502.0
153,0.6160579954876619,95.742,8558.4
154,0.6150254823667619,95.83,8614.7
155,0.6152710623448462,95.802,8671.6
156,0.6161454057754459,95.706,8727.5
157,0.6160363516844142,95.718,8784.2
158,0.6161166461532378,95.602,8841.3
159,0.6158634090362607,95.716,8897.5
160,0.6154755356976443,95.758,8953.5
161,0.6150245325034841,95.75,9010.9
162,0.6158208223559972,95.67,9067.4
163,0.6154749580966238,95.754,9124.4
164,0.6164199168724782,95.678,9180.7
165,0.6157214978466863,95.76,9237.9
166,0.6170755672027998,95.648,9294.4
167,0.617042781751784,95.744,9350.9
168,0.6165689326003384,95.68,9408.1
169,0.6161616408001737,95.692,9463.9
170,0.6166400744786957,95.684,9520.9
171,0.6152855973414448,95.682,9576.1
172,0.6153223734072713,95.756,9628.0
173,0.6161166911234941,95.668,9682.3
174,0.6152209695952627,95.666,9738.8
175,0.6157627451755202,95.782,9794.6
176,0.6159491978033119,95.664,9850.6
177,0.6143484592742627,95.892,9906.5
178,0.6175431305795069,95.544,9964.7
179,0.6155580398066879,95.658,10021.6
180,0.6150653426299619,95.792,10078.0
181,0.6174301218498698,95.528,10134.5
182,0.6145624279061241,95.794,10191.2
183,0.6160532275734045,95.654,10247.7
184,0.616446841250905,95.626,10304.6
185,0.6157887963687673,95.708,10361.5
186,0.6159405648860785,95.786,10418.7
187,0.6179165875210482,95.598,10475.6
188,0.6162984854425005,95.696,10532.5
189,0.6152138142939418,95.748,10589.6
190,0.6174659875347791,95.512,10646.5
191,0.6158341620584278,95.68,10703.1
192,0.6173677482568395,95.642,10759.6
193,0.616526389975682,95.68,10816.5
194,0.6156012737537588,95.682,10872.9
195,0.6161453731529548,95.78,10929.8
196,0.615025352181681,95.694,10985.6
197,0.6171542866455625,95.668,11043.0
198,0.615008586812812,95.738,11100.1
199,0.6150663211522505,95.692,11158.4
200,0.6160551907156434,95.784,11215.1
201,0.6151576723589007,95.758,11272.1
202,0.6153530576040068,95.752,11329.0
203,0.6162675045945151,95.65,11386.1
204,0.6167472378372232,95.73,11442.9
205,0.6162573553412162,95.706,11498.5
206,0.6165053777377624,95.61,11553.6
207,0.616338979557652,95.718,11610.8
208,0.6148169763252863,95.748,11668.1
209,0.6173422795427425,95.656,11725.1
210,0.6169718220410749,95.67,11782.5
211,0.6151074331129909,95.786,11839.4
212,0.6167794894379424,95.63,11896.6
213,0.6163940813840197,95.634,11953.8
214,0.616259892273437,95.79,12010.9
215,0.6139794667358593,95.796,12067.3
216,0.6149198425090526,95.822,12124.2
217,0.6151904567428257,95.774,12181.3
218,0.6145676664074363,95.81,12238.5
219,0.6165477500852111,95.726,12293.2
220,0.6131772502608921,95.896,12345.8
221,0.6147267489177187,95.712,12403.9
222,0.6157718654483786,95.73,12460.2
223,0.6157831955138985,95.718,12512.3
224,0.6156879100958099,95.756,12568.9
225,0.6169125661825585,95.668,12624.9
226,0.6150970425447235,95.808,12681.0
227,0.6177637395651444,95.62,12738.1
228,0.6160327935462717,95.716,12794.5
229,0.6166806321619721,95.702,12849.7
230,0.6159189370891932,95.688,12907.0
231,0.615156977073006,95.74,12964.1
232,0.6167762342011532,95.7,13020.7
233,0.6162822504177727,95.708,13077.4
234,0.6165609926823765,95.666,13133.0
235,0.6156792233667105,95.778,13188.9
236,0.6172349024611665,95.662,13246.1
237,0.6138719362980875,95.774,13302.8
238,0.6168376118935588,95.718,13359.6
239,0.6157974919394764,95.702,13415.7
240,0.613641911302991,95.83,13472.0
241,0.6154841230348553,95.698,13528.1
242,0.6171272459542355,95.642,13584.7
243,0.6149402744020037,95.734,13641.5
244,0.6138601018034894,95.774,13697.8
245,0.6163936853408813,95.688,13754.6
246,0.6157796608517542,95.708,13811.3
247,0.6163503105378212,95.69,13868.3
248,0.6140010498673715,95.736,13925.3
249,0.6135453331805861,95.856,13980.7
250,0.6167916556453461,95.698,14037.4
251,0.6168734042540841,95.63,14093.9
252,0.615535020523364,95.81,14150.7
253,0.6150689736351638,95.778,14207.0
254,0.6165568043508798,95.656,14263.2
255,0.6166521127876419,95.616,14317.7
256,0.6154838936103274,95.752,14373.9
257,0.6146468762546549,95.838,14424.7
258,0.6140682311619029,95.866,14478.6
259,0.6162470030357771,95.654,14529.2
260,0.6150527718426931,95.744,14586.3
261,0.6156138314310547,95.724,14642.8
262,0.6157764725368041,95.652,14700.0
263,0.6165036668862833,95.712,14756.7
264,0.615324751952725,95.794,14813.9
265,0.6158096063167543,95.698,14871.3
266,0.6147845648133846,95.83,14928.3
267,0.6164911323801026,95.676,14985.7
268,0.6150298365546615,95.774,15043.0
269,0.6166293543318043,95.664,15100.1
270,0.6143629410687614,95.802,15156.5
271,0.6141150967239419,95.788,15212.7
272,0.6167277716614706,95.69,15269.2
273,0.6165941330173131,95.672,15326.2
274,0.6160164290986707,95.662,15383.7
275,0.6159333111075185,95.662,15440.9
276,0.616009496057125,95.688,15497.8
277,0.6149818206687108,95.73,15554.7
278,0.616366098603934,95.698,15613.0
279,0.613672398240365,95.834,15673.0
280,0.6143337693970526,95.742,15729.6
281,0.6153410976500158,95.708,15785.5
282,0.6150426815842729,95.776,15841.9
283,0.616617848196298,95.714,15898.3
284,0.616168970799507,95.722,15955.5
285,0.6156806047920071,95.686,16012.5
286,0.6152135575823772,95.79,16070.8
