Combo_Index,Optimizer,Hyperparameters,Best_Train_Loss,Best_Test_Loss,Best_Train_Accuracy,Best_Test_Accuracy,Wallclock_Sec
1,dngd,"{""damping"": 0.3, ""learning_rate"": 0.003, ""momentum"": 0.3}",0.2482422913904711,0.3563586547970772,97.37338342068925,90.94036697247707,1032.5749168395996
2,dngd,"{""damping"": 0.3, ""learning_rate"": 0.003, ""momentum"": 0.6}",0.2369056786536604,0.36736458114215303,98.0370903799611,90.13761467889908,1035.541954755783
3,dngd,"{""damping"": 0.3, ""learning_rate"": 0.003, ""momentum"": 0.9}",0.22199599818634025,0.35596760362386703,98.81661197642133,90.71100917431193,1033.1654760837555
4,dngd,"{""damping"": 0.03, ""learning_rate"": 0.003, ""momentum"": 0.3}",0.22352919733580953,0.36691289448312353,98.72752379396873,91.1697247706422,1033.4585163593292
5,dngd,"{""damping"": 0.03, ""learning_rate"": 0.003, ""momentum"": 0.6}",0.22330704909747118,0.38469949098570005,98.75721985478626,89.6788990825688,1030.5020680427551
6,dngd,"{""damping"": 0.03, ""learning_rate"": 0.003, ""momentum"": 0.9}",0.687141804811224,0.6930185045514788,55.78256544269403,50.91743119266055,1024.3978295326233
7,dngd,"{""damping"": 0.003, ""learning_rate"": 0.003, ""momentum"": 0.3}",0.6879381062299226,0.6935578393084663,55.78256544269403,50.91743119266055,1026.8772513866425
8,dngd,"{""damping"": 0.003, ""learning_rate"": 0.003, ""momentum"": 0.6}",0.6878969095098717,0.6933656760624477,55.78256544269403,50.91743119266055,1028.5430324077606
9,dngd,"{""damping"": 0.003, ""learning_rate"": 0.003, ""momentum"": 0.9}",0.6885892886164069,0.693040036729404,55.70238607848669,50.91743119266055,1025.1097915172577
10,dngd,"{""damping"": 0.0003, ""learning_rate"": 0.003, ""momentum"": 0.3}",0.6882139507212152,0.6996383943728038,55.78256544269403,50.91743119266055,1025.394894361496
11,dngd,"{""damping"": 0.0003, ""learning_rate"": 0.003, ""momentum"": 0.6}",0.68836076219971,0.6930640637874603,55.76474780620351,50.91743119266055,1029.4476420879364
12,dngd,"{""damping"": 0.0003, ""learning_rate"": 0.003, ""momentum"": 0.9}",7.459922054006482,3.3837315099579945,49.913139022108716,49.08256880733945,1035.053352355957
13,dngd,"{""damping"": 3e-05, ""learning_rate"": 0.003, ""momentum"": 0.3}",0.6891193654361644,0.6949961866651263,55.6444787598925,50.91743119266055,1074.7475140094757
14,dngd,"{""damping"": 3e-05, ""learning_rate"": 0.003, ""momentum"": 0.6}",1.968411539824162,1.040576234459877,50.29918781273664,50.91743119266055,1081.127622127533
15,dngd,"{""damping"": 3e-05, ""learning_rate"": 0.003, ""momentum"": 0.9}",16.480595972985384,10.131320578711373,50.42985048033378,50.91743119266055,1041.2892529964447
16,dngd,"{""damping"": 0.6, ""learning_rate"": 0.003, ""momentum"": 0.3}",0.26627807044501545,0.35180285573005676,96.244933109623,90.13761467889908,1072.4772214889526
17,dngd,"{""damping"": 0.6, ""learning_rate"": 0.003, ""momentum"": 0.6}",0.24910469184720319,0.3545487608228411,97.29617366256366,90.71100917431193,1106.4787366390228
18,dngd,"{""damping"": 0.6, ""learning_rate"": 0.003, ""momentum"": 0.9}",0.22627118007587424,0.3561708868614265,98.59537632333071,90.8256880733945,1042.929608821869
19,dngd,"{""damping"": 0.06, ""learning_rate"": 0.003, ""momentum"": 0.3}",0.2265448818580555,0.35452885340367046,98.57013467163581,91.39908256880734,1065.2443587779999
20,dngd,"{""damping"": 0.06, ""learning_rate"": 0.003, ""momentum"": 0.6}",0.22349726391376623,0.35825210703270777,98.73643261221399,91.39908256880734,1067.5715775489807
21,dngd,"{""damping"": 0.06, ""learning_rate"": 0.003, ""momentum"": 0.9}",0.234166106461346,0.42326344549655914,98.2078427296619,87.04128440366972,1057.9855787754059
22,dngd,"{""damping"": 0.006, ""learning_rate"": 0.003, ""momentum"": 0.3}",0.3133736019816931,0.4833314099482128,93.52180433265528,82.33944954128441,1044.580870628357
23,dngd,"{""damping"": 0.006, ""learning_rate"": 0.003, ""momentum"": 0.6}",0.6867603808287487,0.6839283513171333,56.23246076407965,50.91743119266055,1053.5744059085846
24,dngd,"{""damping"": 0.006, ""learning_rate"": 0.003, ""momentum"": 0.9}",0.6882822185683987,0.6930179617234639,55.78256544269403,50.91743119266055,1060.073741197586
25,dngd,"{""damping"": 0.0006, ""learning_rate"": 0.003, ""momentum"": 0.3}",0.6881596750997874,0.6933199742010662,55.78256544269403,50.91743119266055,1080.159898519516
26,dngd,"{""damping"": 0.0006, ""learning_rate"": 0.003, ""momentum"": 0.6}",0.6880641502042847,0.6930401261363711,55.78256544269403,50.91743119266055,1114.554449081421
27,dngd,"{""damping"": 0.0006, ""learning_rate"": 0.003, ""momentum"": 0.9}",0.689571431328735,0.6942924793277468,55.1173736803813,50.91743119266055,1045.4469604492188
28,dngd,"{""damping"": 6e-05, ""learning_rate"": 0.003, ""momentum"": 0.3}",0.6883326478072413,0.6932667174509594,55.78108063965315,50.91743119266055,1041.414860010147
29,dngd,"{""damping"": 6e-05, ""learning_rate"": 0.003, ""momentum"": 0.6}",0.6902563042142329,0.6948188330445971,54.53236128227591,50.91743119266055,1049.490480184555
30,dngd,"{""damping"": 6e-05, ""learning_rate"": 0.003, ""momentum"": 0.9}",17.849716910557056,3.837168608392988,49.73347785416264,50.91743119266055,1083.1793437004091
31,dngd,"{""damping"": 0.3, ""learning_rate"": 0.0003, ""momentum"": 0.3}",0.34022717195565233,0.3704245814255306,91.33320465040312,88.64678899082568,1105.7696342468262
32,dngd,"{""damping"": 0.3, ""learning_rate"": 0.0003, ""momentum"": 0.6}",0.31491909528996204,0.35966887325048447,93.05112176869739,90.59633027522936,1060.1502540111542
33,dngd,"{""damping"": 0.3, ""learning_rate"": 0.0003, ""momentum"": 0.9}",0.25966499025210066,0.3628200175506728,96.69334362796775,90.25229357798165,1124.4947140216827
34,dngd,"{""damping"": 0.03, ""learning_rate"": 0.0003, ""momentum"": 0.3}",0.25537489976141065,0.3649901311312403,96.9695169935708,90.36697247706422,1078.8664803504944
35,dngd,"{""damping"": 0.03, ""learning_rate"": 0.0003, ""momentum"": 0.6}",0.24212855771006994,0.3656208637569632,97.70894890792736,90.8256880733945,1053.1566653251648
