network:,distilbert_sst2,depth,16,Dataset:,sst2,Optimizer:,adamw,LearningRate:,3e-05,BatchSize:,32,EpochRange:,80
Epoch,Epoch_Wallclock_Sec,Cumulative_Wallclock_Sec
1,208.147422,208.147422
2,207.422083,415.569505
3,208.239116,623.808621
4,210.752978,834.561598
5,213.349771,1047.91137
6,255.092498,1303.003867
7,236.88865,1539.892517
8,207.827103,1747.719621
9,205.188662,1952.908283
10,205.398033,2158.306316
11,213.057763,2371.364078
12,222.350804,2593.714883
13,256.494588,2850.20947
14,210.993989,3061.20346
15,212.345398,3273.548858
16,214.153908,3487.702765
17,205.486219,3693.188984
18,205.161657,3898.350641
19,208.619936,4106.970578
20,251.395357,4358.365935
21,215.490074,4573.856009
22,245.14224,4818.998249
23,206.958917,5025.957167
24,207.177009,5233.134175
25,207.766469,5440.900644
26,205.901276,5646.80192
27,205.577855,5852.379775
28,216.735944,6069.115719
29,215.239731,6284.35545
30,240.328657,6524.684107
31,207.185813,6731.86992
32,207.939472,6939.809392
33,206.525631,7146.335023
34,214.007285,7360.342308
35,206.464751,7566.807059
36,207.142852,7773.949911
37,209.608862,7983.558773
38,209.509186,8193.067959
39,244.32628,8437.394239
40,205.737454,8643.131693
41,239.794859,8882.926552
42,206.406312,9089.332865
43,208.204638,9297.537503
44,208.328019,9505.865522
45,218.604157,9724.469679
46,211.170595,9935.640274
47,235.677597,10171.317871
48,210.000243,10381.318114
49,206.884676,10588.20279
50,211.936396,10800.139186
51,212.970761,11013.109947
52,207.728725,11220.838673
53,207.834455,11428.673128
54,211.735195,11640.408323
55,207.256941,11847.665265
56,248.013226,12095.67849
57,207.134757,12302.813248
58,215.572795,12518.386043
59,227.091203,12745.477246
60,207.978853,12953.456099
61,214.020579,13167.476678
62,213.093581,13380.570259
63,242.837735,13623.407994
64,207.420045,13830.828038
65,208.528541,14039.356579
66,212.697396,14252.053975
67,212.406604,14464.460579
68,209.270467,14673.731046
69,206.601464,14880.33251
70,207.712894,15088.045404
71,210.867649,15298.913054
72,206.71047,15505.623523
73,204.489802,15710.113326
74,238.314547,15948.427873
75,211.110242,16159.538115
76,224.971431,16384.509547
77,204.340398,16588.849944
78,211.891607,16800.741551
79,240.259995,17041.001546
80,206.661705,17247.663252
