network:,distilbert_sst2,depth,16,Dataset:,sst2,Optimizer:,dngd,LearningRate:,3e-5,BatchSize:,32,EpochRange:,80
Epoch,Epoch_Wallclock_Sec,Cumulative_Wallclock_Sec
1,204.601851,204.601851
2,203.979645,408.581495
3,204.301992,612.883487
4,203.58952,816.473007
5,211.727691,1028.200698
6,205.889584,1234.090282
7,204.388151,1438.478433
8,203.856793,1642.335226
9,203.968238,1846.303464
10,203.883645,2050.187109
11,204.21437,2254.401479
12,205.234818,2459.636297
13,206.565955,2666.202252
14,203.227814,2869.430067
15,203.059662,3072.489729
16,203.159426,3275.649155
17,202.853143,3478.502298
18,203.179555,3681.681853
19,202.900418,3884.582271
20,203.359186,4087.941458
21,202.840827,4290.782284
22,203.419008,4494.201293
23,208.470979,4702.672272
24,207.353291,4910.025563
25,204.845927,5114.87149
26,203.562601,5318.434091
27,203.442586,5521.876677
28,204.04246,5725.919137
29,203.565146,5929.484284
30,202.977705,6132.461989
31,203.394358,6335.856347
32,206.064927,6541.921274
33,204.862978,6746.784252
34,204.331626,6951.115878
35,202.920009,7154.035887
36,203.897435,7357.933322
37,203.416624,7561.349946
38,204.148034,7765.49798
39,203.860512,7969.358492
40,212.533573,8181.892065
41,214.92407,8396.816135
42,204.759509,8601.575644
43,203.876878,8805.452521
44,203.78779,9009.240311
45,211.104873,9220.345184
46,203.521774,9423.866958
47,202.976713,9626.84367
48,204.308036,9831.151707
49,206.753098,10037.904805
50,205.630139,10243.534944
51,206.15992,10449.694864
52,205.128285,10654.823149
53,204.622124,10859.445273
54,205.864698,11065.309972
55,262.086504,11327.396476
56,208.916743,11536.313219
57,234.74221,11771.055429
58,205.097895,11976.153323
59,206.400878,12182.554202
60,210.884742,12393.438943
61,209.718883,12603.157826
62,207.670914,12810.82874
63,207.604186,13018.432926
64,204.425215,13222.858141
65,204.783115,13427.641256
66,204.955729,13632.596985
67,204.082103,13836.679088
68,205.522987,14042.202074
69,211.539617,14253.741691
70,235.502476,14489.244167
71,225.717331,14714.961498
72,211.502701,14926.464199
73,214.094433,15140.558631
74,233.671051,15374.229683
75,210.632241,15584.861924
76,219.360972,15804.222895
77,210.981189,16015.204085
78,208.983502,16224.187587
79,215.542538,16439.730125
80,212.693671,16652.423796
