network:,distilbert_sst2,depth,16,Dataset:,sst2,Optimizer:,dngd,LearningRate:,3e-5,BatchSize:,32,EpochRange:,80
Epoch,Epoch_Wallclock_Sec,Cumulative_Wallclock_Sec
1,208.062854,208.062854
2,205.928669,413.991524
3,206.521718,620.513241
4,251.840203,872.353444
5,210.73441,1083.087854
6,247.253689,1330.341543
7,208.021096,1538.362639
8,207.963014,1746.325653
9,251.768741,1998.094394
10,211.014193,2209.108587
11,218.185293,2427.29388
12,207.707015,2635.000895
13,208.230372,2843.231267
14,211.866715,3055.097983
15,212.361091,3267.459074
16,210.786647,3478.24572
17,214.195842,3692.441562
18,209.634708,3902.07627
19,210.7568,4112.83307
20,213.086815,4325.919885
21,209.249761,4535.169646
22,257.071079,4792.240725
23,248.176348,5040.417073
24,214.266883,5254.683957
25,254.270585,5508.954541
26,220.529672,5729.484213
27,209.811468,5939.295681
28,209.515789,6148.811469
29,209.856343,6358.667813
30,208.865283,6567.533096
31,211.787515,6779.320611
32,208.756339,6988.07695
33,211.516419,7199.593369
34,210.534134,7410.127503
35,209.984107,7620.11161
36,209.296382,7829.407993
37,246.320587,8075.72858
38,211.164751,8286.893331
39,232.871385,8519.764716
40,209.773121,8729.537837
41,209.277568,8938.815405
42,228.370431,9167.185836
43,218.851918,9386.037754
44,213.79712,9599.834874
45,210.26978,9810.104654
46,210.156287,10020.260941
47,209.415737,10229.676678
48,208.882093,10438.558771
49,209.089821,10647.648592
50,210.230021,10857.878613
51,210.034934,11067.913547
52,209.813304,11277.726851
53,211.185382,11488.912234
54,210.887165,11699.799398
55,210.647267,11910.446666
56,208.882569,12119.329235
57,224.055123,12343.384358
58,209.582249,12552.966607
59,226.18473,12779.151338
60,209.363298,12988.514636
61,210.32752,13198.842156
62,210.223089,13409.065245
63,228.073467,13637.138712
64,211.58104,13848.719752
65,209.057875,14057.777627
66,208.656969,14266.434596
67,209.169232,14475.603828
68,210.159313,14685.763141
69,211.432796,14897.195937
70,212.608722,15109.804659
71,211.872828,15321.677488
72,210.268649,15531.946137
73,234.570774,15766.516911
74,229.970797,15996.487708
75,209.617628,16206.105336
76,209.05948,16415.164816
77,227.559935,16642.724751
78,210.179738,16852.90449
79,212.730015,17065.634505
80,209.023731,17274.658235
