network:,distilbert_sst2,depth,16,Dataset:,sst2,Optimizer:,kfac,LearningRate:,0.0003,BatchSize:,32,EpochRange:,80
Epoch,Epoch_Wallclock_Sec,Cumulative_Wallclock_Sec
1,371.853788,371.853788
2,373.940561,745.794349
3,377.374594,1123.168943
4,376.285986,1499.454929
5,375.596491,1875.05142
6,397.011747,2272.063168
7,389.690692,2661.75386
8,373.7735,3035.52736
9,373.422871,3408.950232
10,384.559879,3793.510111
11,379.761463,4173.271574
12,375.523773,4548.795347
13,373.42688,4922.222227
14,372.980067,5295.202293
15,373.037439,5668.239733
16,371.801892,6040.041625
17,373.162213,6413.203837
18,384.151357,6797.355195
19,384.140347,7181.495542
20,372.207343,7553.702885
21,383.042509,7936.745394
22,372.409415,8309.154809
23,373.890829,8683.045637
24,371.895434,9054.941072
25,372.087228,9427.028299
26,371.290946,9798.319245
27,372.841202,10171.160447
28,371.147055,10542.307502
29,380.610737,10922.91824
30,379.604398,11302.522638
31,383.756722,11686.27936
32,370.986814,12057.266175
33,372.507462,12429.773637
34,370.592436,12800.366073
35,370.453652,13170.819725
36,373.151272,13543.970996
37,375.779554,13919.750551
38,376.125798,14295.876348
39,380.286648,14676.162997
40,370.247648,15046.410645
41,380.942349,15427.352994
42,371.276177,15798.629171
43,370.419238,16169.04841
44,370.204292,16539.252702
45,369.695649,16908.948351
46,370.408292,17279.356643
47,371.791481,17651.148125
48,375.458429,18026.606554
49,379.210197,18405.81675
50,378.084363,18783.901114
51,371.9276,19155.828714
52,370.419054,19526.247768
53,370.341308,19896.589076
54,372.647798,20269.236874
55,371.024465,20640.261339
56,372.367254,21012.628592
57,378.431895,21391.060488
58,391.861463,21782.921951
59,388.104267,22171.026217
60,374.010541,22545.036758
61,373.873428,22918.910187
62,386.133682,23305.043869
63,392.38232,23697.426189
64,407.603538,24105.029727
65,405.7002,24510.729927
66,382.389997,24893.119924
67,372.733994,25265.853918
68,371.341772,25637.19569
69,371.508721,26008.704412
70,371.817575,26380.521986
71,375.122534,26755.64452
72,378.760956,27134.405476
73,393.478002,27527.883478
74,374.174589,27902.058067
75,400.873863,28302.93193
76,395.316091,28698.248021
77,382.097931,29080.345952
78,371.160392,29451.506344
79,370.328662,29821.835006
80,371.426434,30193.26144
