network:,distilbert_sst2,depth,16,Dataset:,sst2,Optimizer:,kfac,LearningRate:,0.0003,BatchSize:,32,EpochRange:,80
Epoch,Epoch_Wallclock_Sec,Cumulative_Wallclock_Sec
1,378.800065,378.800065
2,400.935563,779.735628
3,412.450219,1192.185847
4,414.372337,1606.558184
5,378.63657,1985.194754
6,387.643264,2372.838018
7,377.553004,2750.391022
8,374.903601,3125.294623
9,385.98921,3511.283834
10,392.559966,3903.8438
11,375.92383,4279.767629
12,374.137003,4653.904633
13,400.409295,5054.313928
14,372.751316,5427.065243
15,388.641253,5815.706496
16,385.811695,6201.518192
17,384.440413,6585.958605
18,379.843218,6965.801822
19,432.750595,7398.552417
20,433.83164,7832.384057
21,382.79521,8215.179267
22,458.472326,8673.651593
23,385.066099,9058.717692
24,383.76983,9442.487521
25,383.749084,9826.236605
26,492.412682,10318.649287
27,389.69637,10708.345657
28,461.764349,11170.110006
29,380.970107,11551.080114
30,469.568017,12020.648131
31,384.852182,12405.500313
32,385.238761,12790.739074
33,383.652833,13174.391907
34,383.302838,13557.694745
35,404.279198,13961.973943
36,439.319853,14401.293796
37,443.135045,14844.428841
38,375.145965,15219.574805
39,460.549007,15680.123813
40,388.775724,16068.899537
41,389.362533,16458.262069
42,380.069357,16838.331426
43,421.959648,17260.291074
44,445.331184,17705.622258
45,377.854748,18083.477006
46,425.556253,18509.03326
47,374.754765,18883.788025
48,425.175265,19308.963289
49,371.993344,19680.956634
50,371.054141,20052.010774
51,376.46978,20428.480555
52,372.867712,20801.348267
53,372.290015,21173.638282
54,370.580098,21544.21838
55,383.074915,21927.293295
56,370.852339,22298.145634
57,393.074083,22691.219717
58,371.768431,23062.988148
59,415.150443,23478.138591
60,374.820826,23852.959417
61,372.435451,24225.394868
62,370.490642,24595.88551
63,371.583792,24967.469301
64,371.460024,25338.929325
65,369.251698,25708.181023
66,377.893342,26086.074365
67,375.567284,26461.641649
68,379.565422,26841.207071
69,379.792771,27220.999842
70,376.333504,27597.333346
71,400.210674,27997.544021
72,399.917966,28397.461986
73,378.705666,28776.167653
74,379.657091,29155.824744
75,386.398746,29542.22349
76,378.510874,29920.734363
77,379.180716,30299.915079
78,398.583164,30698.498244
79,429.718488,31128.216732
80,376.129651,31504.346383
