network:,distilbert_sst2,depth,16,Dataset:,sst2,Optimizer:,sam_sgd,LearningRate:,0.0003,BatchSize:,32,EpochRange:,80
Epoch,Epoch_Wallclock_Sec,Cumulative_Wallclock_Sec
1,380.915991,380.915991
2,370.184659,751.10065
3,367.652307,1118.752957
4,367.308687,1486.061644
5,367.581516,1853.64316
6,370.697945,2224.341105
7,397.280674,2621.621779
8,384.462365,3006.084145
9,425.654834,3431.738979
10,370.103549,3801.842528
11,377.510927,4179.353454
12,367.610865,4546.964319
13,366.582282,4913.546602
14,366.580941,5280.127543
15,366.058068,5646.18561
16,366.368558,6012.554168
17,367.442957,6379.997125
18,376.832695,6756.82982
19,383.451178,7140.280998
20,419.288368,7559.569366
21,367.3182,7926.887566
22,370.441237,8297.328803
23,377.46826,8674.797063
24,371.057556,9045.854619
25,367.576008,9413.430627
26,377.822872,9791.253499
27,366.468274,10157.721773
28,379.383687,10537.10546
29,413.443368,10950.548829
30,368.429427,11318.978255
31,368.690455,11687.668711
32,367.873178,12055.541889
33,367.816729,12423.358618
34,376.562096,12799.920714
35,368.189231,13168.109944
36,376.802347,13544.912292
37,377.969806,13922.882097
38,404.378944,14327.261042
39,367.623608,14694.88465
40,368.696288,15063.580937
41,369.087157,15432.668094
42,370.853103,15803.521197
43,368.930999,16172.452196
44,379.039508,16551.491704
45,383.850194,16935.341897
46,369.258071,17304.599968
47,458.915573,17763.515541
48,372.336251,18135.851793
49,372.599863,18508.451655
50,370.996605,18879.44826
51,378.947621,19258.395882
52,369.336197,19627.732079
53,369.631269,19997.363348
54,377.793052,20375.1564
55,368.171512,20743.327913
56,368.638807,21111.966719
57,442.366668,21554.333387
58,366.587717,21920.921104
59,371.228399,22292.149503
60,378.248138,22670.397641
61,371.584952,23041.982593
62,371.347587,23413.33018
63,383.649005,23796.979185
64,368.858729,24165.837915
65,367.7748,24533.612715
66,367.781198,24901.393913
67,379.558706,25280.952619
68,404.682283,25685.634902
69,368.943268,26054.57817
70,377.868067,26432.446237
71,370.143848,26802.590085
72,368.164038,27170.754124
73,366.985772,27537.739896
74,375.60729,27913.347186
75,367.047373,28280.394559
76,373.46983,28653.864389
77,378.734932,29032.599321
78,379.814366,29412.413687
79,367.764111,29780.177798
80,368.064795,30148.242593
