network:,distilbert_sst2,depth,16,Dataset:,sst2,Optimizer:,sam_sgd,LearningRate:,0.0003,BatchSize:,32,EpochRange:,80
Epoch,Epoch_Wallclock_Sec,Cumulative_Wallclock_Sec
1,367.999527,367.999527
2,376.59827,744.597797
3,398.870512,1143.468309
4,370.051558,1513.519867
5,366.666989,1880.186856
6,367.317633,2247.50449
7,366.671777,2614.176267
8,372.428028,2986.604295
9,367.385592,3353.989887
10,367.27873,3721.268616
11,367.702396,4088.971012
12,380.181337,4469.152349
13,397.841488,4866.993837
14,366.286483,5233.280321
15,365.540771,5598.821092
16,366.916144,5965.737236
17,371.118209,6336.855445
18,366.04689,6702.902335
19,366.219544,7069.121879
20,375.887537,7445.009416
21,381.858446,7826.867862
22,379.575679,8206.443541
23,379.909794,8586.353335
24,365.989666,8952.343
25,365.706453,9318.049453
26,373.624909,9691.674362
27,373.843036,10065.517397
28,373.371237,10438.888634
29,370.982324,10809.870958
30,371.455895,11181.326853
31,369.524367,11550.85122
32,385.735652,11936.586872
33,398.125137,12334.712009
34,370.463187,12705.175196
35,373.461846,13078.637042
36,371.249368,13449.88641
37,371.11202,13820.99843
38,370.524677,14191.523107
39,371.30852,14562.831627
40,370.735222,14933.566848
41,372.98484,15306.551688
42,368.402379,15674.954067
43,425.296883,16100.250951
44,375.235474,16475.486425
45,370.5813,16846.067724
46,370.632826,17216.70055
47,379.570568,17596.271118
48,378.02983,17974.300949
49,395.155581,18369.456529
50,430.118382,18799.574911
51,383.10431,19182.679221
52,385.568217,19568.247438
53,371.360684,19939.608121
54,371.841223,20311.449345
55,373.700715,20685.15006
56,372.669091,21057.819151
57,376.267709,21434.08686
58,375.538312,21809.625171
59,372.713985,22182.339157
60,371.810352,22554.149509
61,378.140617,22932.290126
62,418.853657,23351.143783
63,376.786864,23727.930646
64,379.207602,24107.138248
65,371.690886,24478.829134
66,372.399584,24851.228718
67,372.635969,25223.864687
68,377.37804,25601.242728
69,369.553599,25970.796326
70,368.343616,26339.139943
71,367.748544,26706.888487
72,369.476897,27076.365383
73,374.55361,27450.918993
74,391.477058,27842.396051
75,372.458544,28214.854595
76,369.919663,28584.774259
77,375.346315,28960.120574
78,367.989972,29328.110546
79,368.025768,29696.136314
80,369.106567,30065.242881
