network:,distilbert_sst2,depth,16,Dataset:,sst2,Optimizer:,sgd,LearningRate:,0.0003,BatchSize:,32,EpochRange:,100
Epoch,Epoch_Wallclock_Sec,Cumulative_Wallclock_Sec
1,193.925805,193.925805
2,197.369728,391.295533
3,198.688624,589.984156
4,194.486538,784.470695
5,193.55752,978.028214
6,193.339528,1171.367743
7,192.999554,1364.367297
8,193.261096,1557.628393
9,193.941289,1751.569682
10,199.207437,1950.777119
11,207.019599,2157.796718
12,194.732872,2352.52959
13,195.17622,2547.70581
14,193.258611,2740.964422
15,193.425719,2934.390141
16,192.865735,3127.255875
17,193.828376,3321.084251
18,193.162131,3514.246382
19,192.622887,3706.869269
20,192.685858,3899.555127
21,193.808976,4093.364103
22,192.948774,4286.312877
23,193.622626,4479.935503
24,198.745217,4678.68072
25,194.007303,4872.688023
26,192.600881,5065.288904
27,193.548746,5258.83765
28,192.900308,5451.737958
29,192.948088,5644.686046
30,192.795351,5837.481397
31,192.630059,6030.111456
32,192.748455,6222.859911
33,198.218441,6421.078352
34,200.746636,6621.824988
35,192.638216,6814.463204
36,192.459419,7006.922624
37,192.531711,7199.454334
38,192.717142,7392.171476
39,192.463334,7584.63481
40,192.597929,7777.23274
41,192.473637,7969.706377
42,192.945057,8162.651434
43,195.707542,8358.358976
44,194.301158,8552.660134
45,193.235486,8745.89562
46,192.820334,8938.715954
47,192.337439,9131.053393
48,192.50119,9323.554584
49,192.703423,9516.258006
50,192.869148,9709.127154
51,195.788359,9904.915513
52,193.38662,10098.302133
53,195.975515,10294.277648
54,198.640661,10492.918309
55,195.572304,10688.490613
56,192.981878,10881.472491
57,193.320067,11074.792558
58,193.77176,11268.564318
59,192.793374,11461.357692
60,194.008049,11655.365741
61,194.578052,11849.943793
62,193.460325,12043.404119
63,193.655149,12237.059267
64,193.199536,12430.258803
65,192.850492,12623.109294
66,192.965997,12816.075291
67,193.131684,13009.206975
68,193.312781,13202.519756
69,193.007402,13395.527158
70,192.80335,13588.330509
71,192.928202,13781.25871
72,195.081573,13976.340283
73,195.415893,14171.756176
74,194.260281,14366.016457
75,194.639205,14560.655661
76,192.862076,14753.517737
77,192.848397,14946.366134
78,192.500643,15138.866777
79,193.097345,15331.964123
80,194.289537,15526.25366
