network:,distilbert_sst2,depth,16,Dataset:,sst2,Optimizer:,sgd,LearningRate:,0.0003,BatchSize:,32,EpochRange:,80
Epoch,Epoch_Wallclock_Sec,Cumulative_Wallclock_Sec
1,197.987103,197.987103
2,207.765565,405.752668
3,198.229733,603.982401
4,197.558859,801.54126
5,195.325443,996.866704
6,195.867311,1192.734015
7,196.657826,1389.391841
8,197.177598,1586.569439
9,194.959359,1781.528798
10,196.339247,1977.868045
11,194.735107,2172.603152
12,217.140939,2389.744091
13,196.19857,2585.942661
14,211.841538,2797.784199
15,194.815134,2992.599332
16,194.676365,3187.275697
17,195.865023,3383.14072
18,193.863255,3577.003975
19,194.760092,3771.764067
20,195.924525,3967.688592
21,212.71577,4180.404361
22,196.003993,4376.408355
23,194.214827,4570.623182
24,193.626915,4764.250096
25,202.58299,4966.833087
26,195.621403,5162.454489
27,195.113408,5357.567897
28,194.983501,5552.551398
29,193.807462,5746.35886
30,194.029182,5940.388042
31,195.705218,6136.09326
32,193.122117,6329.215377
33,195.059821,6524.275197
34,193.244359,6717.519557
35,206.633153,6924.152709
36,193.170618,7117.323327
37,193.631093,7310.95442
38,203.231508,7514.185928
39,195.898539,7710.084467
40,193.561403,7903.64587
41,194.511021,8098.156891
42,195.158286,8293.315177
43,201.451133,8494.76631
44,200.544021,8695.310331
45,196.235714,8891.546045
46,203.504501,9095.050546
47,194.477499,9289.528045
48,193.805782,9483.333827
49,201.5357,9684.869527
50,232.723778,9917.593305
51,226.308414,10143.901719
52,197.291035,10341.192755
53,199.081472,10540.274227
54,197.467056,10737.741283
55,224.959663,10962.700946
56,217.447336,11180.148282
57,210.91262,11391.060902
58,202.467407,11593.528309
59,195.599866,11789.128175
60,196.221269,11985.349443
61,196.389914,12181.739357
62,196.868071,12378.607428
63,203.930315,12582.537743
64,197.079273,12779.617016
65,195.963283,12975.580299
66,241.755635,13217.335934
67,235.700663,13453.036597
68,194.992137,13648.028733
69,195.543919,13843.572653
70,195.770923,14039.343576
71,230.820776,14270.164352
72,195.454914,14465.619266
73,196.59349,14662.212756
74,204.822029,14867.034785
75,194.612218,15061.647002
76,194.577051,15256.224054
77,194.787054,15451.011108
78,195.310123,15646.321231
79,196.364418,15842.685649
80,195.957129,16038.642777
