Wall time,Step,Value
1735988365.068155,0,132.89999389648438
1735988409.137752,1,270.0
1735988452.9346724,2,407.29998779296875
1735988496.3001647,3,542.5
1735988540.5172982,4,680.4000244140625
1735988585.6372495,5,821.4000244140625
1735988629.833944,6,960.5
1735988673.1459684,7,1093.699951171875
1735988717.397529,8,1230.699951171875
1735988760.9232273,9,1366.199951171875
1735988805.1981113,10,1503.199951171875
1735988850.144233,11,1642.9000244140625
1735988893.0319207,12,1777.5
1735988937.4720898,13,1916.800048828125
1735988980.2321224,14,2048.199951171875
1735989024.0965302,15,2185.10009765625
1735989066.723317,16,2317.39990234375
1735989111.7412884,17,2457.60009765625
1735989155.9273634,18,2594.300048828125
1735989199.8565526,19,2731.60009765625
1735989242.5348067,20,2862.89990234375
1735989285.2325523,21,2996.60009765625
1735989329.2923136,22,3133.199951171875
1735989372.8553588,23,3269.10009765625
1735989416.497105,24,3405.60009765625
1735989459.4953713,25,3540.10009765625
1735989502.2179391,26,3672.89990234375
1735989545.1931903,27,3806.199951171875
1735989588.107694,28,3941.10009765625
1735989631.235588,29,4074.699951171875
1735989674.6955938,30,4209.39990234375
1735989717.775206,31,4343.39990234375
1735989760.7435606,32,4476.39990234375
1735989803.9594753,33,4611.7001953125
1735989846.9630756,34,4746.5
1735989888.184499,35,4874.7998046875
1735989931.1081493,36,5008.60009765625
1735989974.4227014,37,5143.2001953125
1735990017.144636,38,5276.2001953125
1735990060.7504854,39,5410.89990234375
1735990103.0617962,40,5543.2998046875
1735990146.206549,41,5676.39990234375
1735990190.3947248,42,5813.2998046875
1735990232.6481283,43,5944.5
1735990276.0074675,44,6079.39990234375
1735990319.8945673,45,6215.89990234375
1735990362.258541,46,6346.2001953125
1735990405.6680937,47,6481.2998046875
1735990448.7041893,48,6614.7998046875
1735990491.7614129,49,6749.60009765625
1735990534.855463,50,6884.10009765625
1735990578.1687264,51,7018.10009765625
1735990621.5850708,52,7153.5
1735990664.3197012,53,7286.7001953125
1735990707.731194,54,7421.7001953125
1735990750.7848816,55,7554.60009765625
1735990794.4817617,56,7690.10009765625
1735990837.1003768,57,7824.10009765625
