Wall time,Step,Value
1735849734.0939696,0,140.89999389648438
1735849777.9576864,1,276.6000061035156
1735849821.1378763,2,410.1000061035156
1735849864.1656425,3,543.0999755859375
1735849908.4595172,4,680.5
1735849951.588082,5,814.5
1735849995.8542752,6,950.2999877929688
1735850038.4420247,7,1081.800048828125
1735850083.0687895,8,1219.199951171875
1735850126.98347,9,1355.199951171875
1735850170.0949976,10,1488.199951171875
1735850212.8450284,11,1620.699951171875
1735850256.89553,12,1757.5999755859375
1735850301.0738761,13,1894.300048828125
1735850344.8891098,14,2030.800048828125
1735850388.5670776,15,2166.0
1735850432.1394603,16,2301.300048828125
1735850475.8577883,17,2436.800048828125
1735850519.0999,18,2571.39990234375
1735850562.9925213,19,2706.300048828125
1735850606.3546617,20,2840.10009765625
1735850650.204494,21,2975.800048828125
1735850694.0218904,22,3109.300048828125
1735850738.1375442,23,3246.5
1735850781.977562,24,3382.300048828125
1735850825.5289228,25,3516.60009765625
1735850868.9033902,26,3651.199951171875
1735850911.9849339,27,3783.0
1735850955.829245,28,3918.699951171875
1735850999.393066,29,4052.199951171875
1735851043.171683,30,4188.5
1735851086.2049122,31,4321.60009765625
1735851126.969673,32,4449.5
1735851166.8416271,33,4573.2001953125
1735851205.6229217,34,4693.39990234375
1735851245.5395477,35,4817.0
1735851285.5856807,36,4941.7001953125
1735851324.4208617,37,5061.60009765625
1735851363.81887,38,5183.5
1735851403.5572743,39,5307.2001953125
1735851443.2601712,40,5430.5
1735851483.3543143,41,5554.39990234375
1735851522.778161,42,5677.0
1735851562.4948354,43,5800.2001953125
1735851602.3825278,44,5923.2998046875
1735851641.4659328,45,6044.2001953125
1735851681.6000214,46,6169.7001953125
1735851721.4941878,47,6292.39990234375
1735851760.7376785,48,6415.10009765625
1735851800.872559,49,6538.2001953125
1735851840.1520965,50,6660.2001953125
1735851879.0788405,51,6780.2001953125
1735851919.396374,52,6903.2001953125
1735851958.8784752,53,7024.89990234375
1735851998.9893208,54,7150.10009765625
1735852039.331346,55,7274.5
1735852079.1292882,56,7398.39990234375
1735852118.890614,57,7521.10009765625
1735852158.0838127,58,7642.60009765625
1735852197.8771877,59,7765.60009765625
1735852237.590208,60,7887.60009765625
1735852276.591634,61,8008.39990234375
1735852315.965236,62,8128.7001953125
1735852356.714915,63,8255.5
1735852396.5283906,64,8379.099609375
1735852436.7968533,65,8503.2001953125
1735852476.2535834,66,8626.2998046875
1735852516.3015838,67,8749.7998046875
1735852555.6210706,68,8870.099609375
1735852595.594666,69,8994.2001953125
1735852635.5735664,70,9118.099609375
1735852675.039258,71,9240.400390625
1735852715.1409276,72,9364.900390625
1735852754.8195233,73,9487.099609375
1735852794.1877277,74,9610.0
1735852833.9198544,75,9732.7998046875
1735852873.8141503,76,9857.2001953125
1735852913.5250468,77,9980.5
1735852952.9573488,78,10101.900390625
1735852992.5141456,79,10224.400390625
1735853031.3572981,80,10345.2998046875
1735853071.020461,81,10467.2001953125
1735853110.3732636,82,10589.099609375
1735853151.0781798,83,10715.2001953125
1735853191.7383826,84,10841.7001953125
1735853231.2238946,85,10963.7998046875
1735853271.5089436,86,11089.5
1735853311.298872,87,11213.5
1735853350.8734467,88,11337.0
1735853390.6657884,89,11460.400390625
1735853430.0581594,90,11582.2001953125
1735853470.6743674,91,11707.900390625
1735853510.7975004,92,11833.2998046875
1735853550.0216687,93,11956.0
1735853589.9248106,94,12079.7001953125
1735853629.8761663,95,12203.2998046875
1735853669.2617552,96,12324.7001953125
1735853709.1280534,97,12448.2001953125
1735853748.907789,98,12570.599609375
1735853789.1271489,99,12693.900390625
1735853828.1616392,100,12815.5
1735853868.0315118,101,12938.400390625
1735853908.5529757,102,13064.0
1735853948.8177972,103,13189.0
1735853988.8736236,104,13312.599609375
1735854028.7245219,105,13435.0
1735854068.2694802,106,13557.5
1735854107.990801,107,13680.2001953125
1735854148.032632,108,13803.400390625
1735854187.304103,109,13923.0
1735854227.7602677,110,14047.7001953125
1735854267.5790381,111,14170.7998046875
1735854307.4383695,112,14293.2998046875
1735854347.8156824,113,14418.2001953125
1735854387.0795627,114,14538.5
1735854427.0405023,115,14661.7001953125
1735854466.701212,116,14785.099609375
1735854506.6083767,117,14908.599609375
1735854546.3557246,118,15032.0
1735854586.1089761,119,15154.400390625
1735854626.357472,120,15278.7998046875
1735854666.5798714,121,15403.2001953125
1735854705.853,122,15524.5
1735854745.8469465,123,15648.599609375
1735854785.1972783,124,15769.400390625
1735854825.2381287,125,15892.5
1735854865.3343716,126,16017.099609375
1735854905.6848829,127,16142.400390625
1735854945.0183568,128,16263.7001953125
1735854984.8891797,129,16387.30078125
1735855024.9061697,130,16510.19921875
1735855065.2498217,131,16635.0
1735855104.7114298,132,16756.0
1735855144.0734332,133,16877.5
1735855184.2434158,134,17001.599609375
1735855224.6360037,135,17126.599609375
1735855265.070561,136,17251.19921875
1735855305.069465,137,17375.30078125
1735855345.7852142,138,17501.099609375
1735855386.3136702,139,17627.30078125
1735855426.471237,140,17751.099609375
1735855466.3194997,141,17872.69921875
1735855506.5562775,142,17998.599609375
1735855547.0505733,143,18123.69921875
1735855587.3264496,144,18248.099609375
1735855626.779431,145,18370.19921875
1735855666.4689264,146,18491.5
1735855706.7385743,147,18616.599609375
1735855747.0886295,148,18741.599609375
1735855786.5596993,149,18865.400390625
1735855827.1264253,150,18990.0
1735855866.4186888,151,19111.099609375
1735855906.621074,152,19234.400390625
1735855946.4547796,153,19358.0
1735855986.6555321,154,19482.69921875
1735856026.3856468,155,19605.19921875
1735856065.7587025,156,19727.69921875
1735856104.7213001,157,19847.19921875
1735856144.191787,158,19969.30078125
1735856184.9996703,159,20094.900390625
1735856224.8705444,160,20217.80078125
1735856265.2600007,161,20342.30078125
1735856306.2400293,162,20468.5
1735856346.3998797,163,20592.80078125
1735856386.4008706,164,20717.0
1735856426.4991777,165,20842.19921875
1735856466.5010798,166,20964.69921875
1735856506.4635127,167,21088.0
1735856546.8267865,168,21213.80078125
1735856586.7676055,169,21337.099609375
1735856626.8127086,170,21460.69921875
1735856666.813893,171,21584.900390625
1735856706.5832427,172,21706.80078125
1735856746.1389537,173,21827.400390625
1735856786.2466786,174,21951.69921875
1735856826.4673522,175,22077.19921875
1735856866.8722599,176,22202.80078125
1735856906.402397,177,22324.69921875
1735856945.28815,178,22444.599609375
1735856984.9595141,179,22569.5
1735857024.885172,180,22693.900390625
1735857064.273737,181,22816.69921875
1735857103.6671135,182,22938.099609375
1735857143.7511268,183,23063.099609375
1735857183.5155761,184,23185.69921875
1735857223.183488,185,23307.5
1735857263.2218566,186,23432.0
1735857303.305643,187,23555.599609375
1735857343.3259656,188,23680.69921875
1735857382.542715,189,23801.69921875
1735857422.619053,190,23926.0
1735857462.462089,191,24049.80078125
1735857501.9675272,192,24172.69921875
1735857541.1848185,193,24293.5
1735857580.3567133,194,24414.30078125
1735857619.813007,195,24536.0
1735857658.8444886,196,24657.19921875
1735857698.1266456,197,24778.5
1735857738.2830577,198,24902.599609375
1735857777.873875,199,25025.0
1735857818.146687,200,25150.19921875
