Wall time,Step,Value
1735936829.2647252,0,118.19999694824219
1735936867.216602,1,234.8000030517578
1735936905.009569,2,351.1000061035156
1735936942.5523412,3,466.79998779296875
1735936979.7267547,4,581.7000122070312
1735937016.620612,5,695.5
1735937054.2445436,6,811.2999877929688
1735937091.4641795,7,926.5999755859375
1735937128.697247,8,1040.9000244140625
1735937166.7146714,9,1157.199951171875
1735937203.9893959,10,1271.9000244140625
1735937241.14983,11,1386.9000244140625
1735937278.6228354,12,1502.199951171875
1735937315.4644127,13,1616.199951171875
1735937353.9575453,14,1735.0
1735937392.2388418,15,1853.0999755859375
1735937430.6465318,16,1971.800048828125
1735937468.4478858,17,2087.699951171875
1735937505.4196556,18,2200.199951171875
1735937543.5265203,19,2318.10009765625
1735937580.750768,20,2432.699951171875
1735937618.823824,21,2550.300048828125
1735937656.8188157,22,2667.699951171875
1735937694.0816398,23,2782.5
1735937732.1789134,24,2900.199951171875
1735937769.8966572,25,3017.5
1735937807.3712823,26,3132.5
1735937845.785227,27,3251.5
1735937883.4839108,28,3368.39990234375
1735937920.490435,29,3484.0
1735937958.3748062,30,3600.60009765625
1735937995.8669472,31,3714.800048828125
1735938033.5691698,32,3830.199951171875
1735938071.3619034,33,3944.699951171875
1735938108.5834184,34,4059.699951171875
1735938145.9210355,35,4174.89990234375
1735938183.4348109,36,4290.60009765625
1735938220.7707188,37,4406.10009765625
1735938257.752633,38,4519.60009765625
1735938294.9384074,39,4634.10009765625
1735938332.1197114,40,4748.39990234375
1735938369.9481301,41,4865.60009765625
1735938407.761854,42,4982.39990234375
1735938445.5389802,43,5097.7998046875
1735938483.0003638,44,5213.39990234375
1735938520.89047,45,5330.5
1735938558.5093117,46,5445.5
1735938596.277453,47,5561.7998046875
1735938633.87384,48,5677.7001953125
1735938671.5911953,49,5793.7001953125
1735938709.2134647,50,5910.2998046875
1735938747.2198324,51,6027.89990234375
1735938784.1758802,52,6141.0
1735938821.441687,53,6255.39990234375
1735938859.0748918,54,6371.5
1735938896.3093677,55,6486.7001953125
1735938934.093419,56,6603.7998046875
1735938971.9745376,57,6720.5
1735939009.3877385,58,6835.39990234375
1735939047.3205557,59,6952.89990234375
1735939085.3390198,60,7070.39990234375
1735939123.403696,61,7187.89990234375
1735939160.4932437,62,7303.0
1735939197.5842206,63,7417.2998046875
1735939234.7681017,64,7531.7998046875
1735939272.383292,65,7647.7998046875
1735939310.0375423,66,7764.7001953125
1735939347.8276193,67,7881.2001953125
1735939385.054109,68,7996.2001953125
1735939422.6101735,69,8112.7001953125
1735939460.2123768,70,8229.2001953125
1735939497.6205914,71,8344.5
1735939535.415206,72,8461.5
1735939573.4941652,73,8579.7998046875
1735939610.8633082,74,8695.0
1735939648.090843,75,8809.2001953125
1735939685.9432058,76,8927.0
1735939724.402708,77,9045.2001953125
1735939762.2409875,78,9161.900390625
1735939799.9238715,79,9278.400390625
1735939837.5150154,80,9394.5
1735939875.8635857,81,9512.5
1735939914.134991,82,9630.5
1735939951.6334283,83,9746.400390625
1735939989.051688,84,9861.2998046875
1735940026.5198817,85,9976.5
1735940064.3294196,86,10092.7001953125
1735940101.5490713,87,10208.0
1735940138.778841,88,10322.400390625
1735940176.3888817,89,10440.0
1735940214.2574804,90,10557.7998046875
1735940251.8485034,91,10673.7001953125
1735940289.5177681,92,10788.900390625
1735940327.7442887,93,10905.900390625
1735940365.4371796,94,11022.900390625
1735940403.1585104,95,11139.400390625
1735940440.1544995,96,11253.2998046875
1735940477.7115815,97,11368.7001953125
1735940515.1000607,98,11483.599609375
1735940553.571462,99,11603.0
1735940590.7887259,100,11717.400390625
1735940628.0830965,101,11832.2001953125
1735940665.9564116,102,11949.5
1735940702.8176684,103,12064.2001953125
1735940740.4772377,104,12180.2998046875
1735940778.3422122,105,12297.0
1735940815.7390065,106,12412.400390625
1735940853.140073,107,12528.0
1735940890.5563216,108,12643.900390625
1735940927.992302,109,12760.0
1735940965.2572181,110,12874.7001953125
1735941002.7866883,111,12990.400390625
1735941040.139859,112,13105.400390625
1735941078.1635315,113,13222.7001953125
1735941115.9494839,114,13338.900390625
1735941153.478455,115,13454.099609375
1735941190.8606367,116,13570.0
1735941228.6053782,117,13686.2001953125
1735941265.699729,118,13801.5
1735941303.160981,119,13917.400390625
1735941339.9904976,120,14029.7998046875
1735941377.333782,121,14145.400390625
1735941414.9588623,122,14261.099609375
1735941452.9136026,123,14378.400390625
1735941490.4334233,124,14493.7001953125
1735941527.8043234,125,14608.2001953125
1735941565.542777,126,14723.599609375
1735941602.7696877,127,14837.5
1735941640.4276342,128,14954.5
1735941677.3548393,129,15067.900390625
1735941715.328844,130,15184.900390625
1735941753.7316415,131,15303.900390625
1735941791.4357424,132,15419.7998046875
1735941829.64856,133,15537.7001953125
1735941866.828349,134,15652.099609375
1735941904.5166924,135,15768.0
1735941942.0776343,136,15884.5
1735941979.1370997,137,15998.2998046875
1735942016.6196861,138,16113.2001953125
1735942054.0244865,139,16228.7998046875
1735942091.5054114,140,16344.2001953125
1735942129.3941994,141,16461.599609375
1735942167.2651064,142,16578.599609375
1735942205.2786634,143,16694.69921875
1735942242.6044796,144,16810.099609375
1735942280.3974025,145,16927.30078125
1735942317.9632487,146,17043.30078125
1735942355.3700023,147,17158.19921875
