Wall time,Step,Value
1736256910.500347,0,542.5999755859375
1736257090.3611705,1,1118.300048828125
1736257272.0554743,2,1706.0
1736257464.6288218,3,2310.0
1736257787.122848,4,3246.60009765625
1736258422.8955863,5,5037.10009765625
1736260238.418593,6,10549.7998046875
1736261937.093632,7,16314.599609375
1736263086.9058402,8,20686.80078125
1736263766.5313618,9,23081.30078125
1736264319.915311,10,24874.900390625
1736264750.1969864,11,26378.900390625
1736265116.8168135,12,27563.5
1736265490.9487615,13,28784.30078125
1736265866.7856984,14,30019.19921875
1736266231.1425273,15,31238.400390625
1736266498.0923638,16,32085.599609375
1736266726.3902798,17,32894.5
1736266901.42115,18,33462.1015625
1736267077.1337662,19,34034.8984375
1736267254.0560439,20,34607.6015625
1736267429.4052234,21,35171.6015625
1736267606.0076694,22,35743.8984375
1736267783.1047237,23,36317.0
1736267960.032119,24,36893.80078125
1736268137.6204572,25,37468.3984375
1736268314.2165954,26,38036.30078125
1736268490.0973253,27,38604.80078125
1736268666.0936985,28,39175.80078125
1736268841.7591236,29,39748.19921875
1736269020.0436718,30,40324.80078125
1736269196.7355137,31,40893.69921875
1736269372.6841838,32,41460.6015625
1736269548.4982128,33,42031.0
1736269723.9821677,34,42601.5
1736269901.3114698,35,43175.69921875
1736270077.642296,36,43743.1015625
1736270253.8412437,37,44312.1015625
1736270429.833069,38,44883.69921875
1736270606.2624795,39,45459.69921875
1736270783.3467453,40,46033.30078125
1736270958.4690685,41,46596.19921875
1736271134.4690497,42,47165.6015625
1736271309.7521036,43,47735.3984375
1736271485.448849,44,48307.8984375
1736271662.4995418,45,48880.6015625
1736271839.0276072,46,49448.19921875
1736272015.2658184,47,50017.19921875
1736272191.840921,48,50588.8984375
1736272367.4825478,49,51159.80078125
1736272545.6272929,50,51735.30078125
1736272722.068536,51,52303.30078125
1736272897.7391634,52,52871.30078125
1736273073.1848006,53,53439.69921875
1736273249.5364547,54,54014.0
1736273427.0184906,55,54589.5
1736273603.095825,56,55154.8984375
1736273778.5936978,57,55721.6015625
1736273954.406012,58,56290.1015625
1736274130.2704124,59,56863.5
1736274306.8897552,60,57434.69921875
1736274482.2978895,61,58000.1015625
1736274656.9787824,62,58565.1015625
1736274833.2638369,63,59137.80078125
1736275007.9167871,64,59706.19921875
1736275184.0161858,65,60275.80078125
1736275359.161138,66,60839.1015625
1736275536.281816,67,61411.6015625
1736275711.8945224,68,61982.30078125
1736275887.0049665,69,62552.3984375
1736276062.8412297,70,63121.6015625
1736276237.4818335,71,63682.69921875
1736276413.443709,72,64250.80078125
1736276587.0071406,73,64814.0
1736276761.419539,74,65382.30078125
1736276937.466382,75,65951.8984375
1736277111.4882784,76,66512.203125
1736277285.7077248,77,67074.8984375
1736277459.543412,78,67637.6015625
1736277634.081389,79,68205.203125
1736277810.4064174,80,68775.6015625
1736277985.0732648,81,69336.8984375
1736278159.2533364,82,69898.8984375
1736278333.5429807,83,70462.5
1736278507.3707006,84,71028.796875
1736278683.6869996,85,71599.5
1736278857.7191465,86,72158.796875
1736279033.0077991,87,72724.796875
1736279208.7607794,88,73295.703125
1736279383.625195,89,73864.1015625
1736279560.966939,90,74439.5
1736279736.2540298,91,75002.296875
1736279910.6334796,92,75565.296875
1736280085.659719,93,76133.1015625
1736280259.9537826,94,76700.796875
1736280435.759681,95,77270.203125
1736280609.447493,96,77829.796875
1736280783.89706,97,78393.296875
1736280957.3733668,98,78956.5
1736281132.828391,99,79527.296875
1736281308.5140278,100,80096.6015625
1736281483.3750505,101,80660.296875
1736281659.0756204,102,81226.703125
1736281836.5488117,103,81803.5
1736282011.7401872,104,82373.296875
1736282186.7059329,105,82940.3984375
1736282360.7827754,106,83501.3984375
1736282535.933369,107,84066.5
1736282710.336763,108,84632.5
1736282884.7442799,109,85199.6015625
1736283060.2288632,110,85768.6015625
1736283234.0528543,111,86328.203125
1736283407.9854155,112,86890.703125
1736283582.1976235,113,87456.703125
1736283755.434321,114,88021.796875
1736283931.8018794,115,88591.5
1736284108.1391308,116,89159.0
1736284282.3244638,117,89722.5
1736284455.6134317,118,90284.1015625
1736284629.5455098,119,90849.6015625
1736284804.458663,120,91415.703125
1736284978.636184,121,91977.203125
1736285153.4215343,122,92544.1015625
1736285327.8308764,123,93110.5
1736285501.4171946,124,93674.6015625
1736285676.6133518,125,94243.703125
1736285850.2702386,126,94803.0
1736286023.6613185,127,95363.1015625
1736286196.818657,128,95923.796875
1736286370.1346385,129,96486.703125
1736286545.7993584,130,97055.703125
1736286720.5424554,131,97618.1015625
1736286893.9289682,132,98177.3984375
1736287067.5139306,133,98740.296875
1736287241.5807633,134,99306.3984375
1736287416.9631288,135,99872.8984375
1736287590.5967617,136,100432.1015625
1736287763.9023173,137,100992.296875
1736287936.4295852,138,101551.6015625
1736288108.5464606,139,102111.703125
1736288282.7506313,140,102675.796875
1736288455.8601046,141,103232.5
1736288629.4833233,142,103792.203125
1736288802.388478,143,104353.3984375
1736288974.1125305,144,104911.796875
1736289148.5704088,145,105475.796875
1736289321.130355,146,106032.3984375
1736289494.1066637,147,106591.1015625
1736289667.586831,148,107153.203125
1736289840.265146,149,107714.5
1736290016.5718193,150,108283.1015625
1736290192.4636943,151,108847.796875
1736290369.2214658,152,109418.0
1736290544.0102627,153,109985.1015625
1736290719.035302,154,110553.8984375
1736290895.940852,155,111125.296875
1736291070.7272854,156,111687.703125
1736291246.0043786,157,112255.5
1736291420.0538397,158,112819.796875
1736291595.7139957,159,113391.3984375
1736291772.2726257,160,113964.0
1736291946.591989,161,114524.6015625
1736292122.0157588,162,115092.3984375
1736292295.2443323,163,115653.296875
1736292468.3389406,164,116216.296875
1736292644.3005228,165,116787.0
1736292817.1238844,166,117342.703125
1736292991.1565294,167,117904.6015625
1736293164.701125,168,118467.296875
1736293338.6056845,169,119032.5
1736293514.4753973,170,119601.296875
1736293687.4451783,171,120158.5
1736293861.161719,172,120717.703125
1736294035.3138592,173,121279.703125
1736294208.4906485,174,121843.6015625
1736294383.1733446,175,122407.296875
1736294557.1921215,176,122967.1015625
1736294729.7957804,177,123524.0
1736294902.698345,178,124086.5
1736295075.65681,179,124650.203125
1736295250.7163596,180,125216.296875
1736295423.6188025,181,125771.703125
1736295596.7823613,182,126329.1015625
1736295769.8334746,183,126890.3984375
1736295942.40298,184,127450.296875
1736296116.6797416,185,128013.6015625
1736296289.9147656,186,128571.5
1736296463.6624491,187,129133.1015625
1736296635.5664222,188,129691.796875
1736296807.2139597,189,130251.1015625
1736296980.6848304,190,130812.203125
1736297152.9567719,191,131366.203125
1736297324.4735928,192,131920.09375
1736297496.1978893,193,132476.90625
1736297668.4794192,194,133039.59375
1736297842.40706,195,133605.203125
1736298014.0960128,196,134156.703125
1736298187.8818967,197,134716.0
1736298371.318406,198,135290.296875
1736298606.7261102,199,136046.5
1736298852.7306957,200,136825.0
1736299093.0642824,201,137595.703125
1736299326.1490247,202,138346.296875
1736299675.1329875,203,139420.09375
1736300042.4719498,204,140629.0
1736300423.0493515,205,141858.40625
1736300767.2921355,206,143030.0
1736301029.1073976,207,143870.0
1736301295.150364,208,144730.90625
1736301561.4405787,209,145592.90625
1736301828.8213375,210,146453.296875
1736302093.4758215,211,147297.59375
1736302355.1844635,212,148144.5
1736302620.7484405,213,149008.09375
1736302886.41126,214,149874.5
1736303150.6240642,215,150728.40625
1736303342.7687397,216,151393.90625
1736303513.4323502,217,151945.5
1736303684.12166,218,152497.0
1736303854.7974768,219,153052.296875
1736304026.9066722,220,153608.296875
1736304197.789978,221,154160.5
1736304367.7419524,222,154709.796875
1736304539.7097712,223,155266.0
1736304709.898539,224,155820.09375
1736304882.779412,225,156380.09375
1736305053.4215212,226,156929.59375
1736305224.6585839,227,157482.203125
1736305395.4315622,228,158036.296875
1736305566.6814394,229,158593.203125
1736305740.0754476,230,159154.296875
1736305910.7684608,231,159703.09375
1736306083.2632487,232,160261.40625
1736306254.1848452,233,160816.296875
1736306425.3786128,234,161373.5
1736306598.8143559,235,161933.59375
1736306770.7164972,236,162487.90625
1736306941.8574297,237,163040.5
1736307112.8396735,238,163593.203125
1736307283.1824555,239,164146.203125
1736307455.2887712,240,164703.90625
1736307626.6324239,241,165254.09375
1736307797.7516367,242,165806.203125
1736307968.8305764,243,166360.40625
1736308141.2347014,244,166922.40625
1736308314.8359983,245,167483.90625
1736308486.2284536,246,168037.40625
1736308657.1714725,247,168589.796875
1736308829.8141186,248,169150.5
1736309001.4157212,249,169708.90625
1736309173.06096,250,170264.703125
1736309345.0772586,251,170817.40625
1736309515.589637,252,171367.09375
1736309686.31129,253,171920.703125
1736309856.236843,254,172474.59375
1736310028.8388207,255,173032.59375
1736310200.3319383,256,173583.203125
1736310370.643229,257,174133.90625
1736310541.9205363,258,174689.796875
1736310711.938906,259,175243.296875
1736310884.5503306,260,175801.703125
1736311054.8629785,261,176349.09375
1736311226.7173858,262,176907.203125
1736311399.188389,263,177465.5
1736311569.7808127,264,178020.796875
1736311742.990881,265,178583.09375
1736311914.341531,266,179135.40625
1736312085.4790664,267,179689.09375
1736312256.9068694,268,180243.203125
1736312428.3042934,269,180800.09375
1736312600.5808127,270,181358.796875
1736312771.9956481,271,181908.796875
1736312942.8089645,272,182459.5
1736313114.0999534,273,183014.59375
1736313284.5392327,274,183568.796875
1736313457.193226,275,184128.40625
1736313628.3283334,276,184679.203125
1736313800.039271,277,185234.09375
1736313970.727867,278,185787.703125
1736314142.2369943,279,186346.40625
1736314314.733528,280,186904.59375
1736314485.3372145,281,187452.796875
1736314655.3832197,282,188002.40625
1736314827.2302456,283,188559.703125
1736314997.8036315,284,189114.0
1736315170.2288525,285,189671.796875
1736315340.65619,286,190220.59375
1736315511.5624576,287,190774.09375
1736315681.8708775,288,191327.0
