Wall time,Step,Value
1736124572.5426705,0,507.20001220703125
1736124742.7391112,1,1051.5
1736124918.23707,2,1617.0
1736125093.990506,3,2186.800048828125
1736125270.0387337,4,2760.60009765625
1736125448.0656188,5,3338.0
1736125625.8584683,6,3910.699951171875
1736125803.0057404,7,4482.0
1736125979.431559,8,5053.2001953125
1736126155.6780806,9,5627.2998046875
1736126333.48192,10,6202.7001953125
1736126509.1174505,11,6768.60009765625
1736126683.203528,12,7331.5
1736126857.423145,13,7897.2998046875
1736127031.3025022,14,8463.5
1736127208.0036786,15,9036.2001953125
1736127382.3646762,16,9598.2001953125
1736127556.8202996,17,10163.400390625
1736127731.1225386,18,10729.7001953125
1736127904.4855137,19,11291.599609375
1736128079.7475572,20,11861.599609375
1736128253.1534975,21,12420.099609375
1736128427.1631386,22,12984.2998046875
1736128599.6113522,23,13544.2001953125
1736128770.933618,24,14100.7998046875
1736128944.951284,25,14664.2998046875
1736129117.5599093,26,15216.900390625
1736129290.4868233,27,15776.099609375
1736129462.8110237,28,16332.2998046875
1736129636.0927567,29,16895.5
1736129809.9900236,30,17459.80078125
1736129982.5808141,31,18014.599609375
1736130155.1740131,32,18573.19921875
1736130326.8959544,33,19130.900390625
1736130499.3007557,34,19690.19921875
1736130673.3318126,35,20254.80078125
1736130845.6420877,36,20810.599609375
1736131019.1791983,37,21372.099609375
1736131193.2163832,38,21934.099609375
1736131489.712399,39,22875.69921875
1736131802.3468115,40,23887.099609375
1736132114.2198884,41,24889.400390625
1736132422.6108844,42,25884.900390625
1736132734.8294103,43,26898.599609375
1736133048.1915405,44,27924.19921875
1736133359.3083594,45,28926.099609375
1736133669.6392577,46,29921.5
1736133981.2972157,47,30935.599609375
1736134288.027057,48,31932.599609375
1736134598.893109,49,32945.3984375
1736134910.3732023,50,33953.30078125
1736135221.6441052,51,34953.30078125
1736135530.2979615,52,35951.3984375
1736135737.921765,53,36699.6015625
1736135913.1862469,54,37271.0
1736136089.6625047,55,37841.3984375
1736136265.259174,56,38407.0
1736136440.8408365,57,38973.6015625
1736136616.6395822,58,39544.0
1736136790.8871193,59,40111.0
1736136966.8323865,60,40679.80078125
1736137141.1923954,61,41241.69921875
1736137315.3006923,62,41804.8984375
1736137489.272253,63,42367.3984375
1736137664.0062804,64,42934.6015625
1736137840.7001388,65,43506.6015625
1736138016.3450634,66,44072.8984375
1736138190.7990139,67,44636.5
1736138366.9422116,68,45203.8984375
1736138543.1214192,69,45775.19921875
1736138720.957421,70,46348.0
1736138895.3650844,71,46911.69921875
1736139073.768147,72,47485.80078125
1736139252.1412206,73,48061.5
1736139429.8815608,74,48641.0
1736139604.5567691,75,49207.0
1736139779.0075464,76,49768.5
1736139952.8067381,77,50331.30078125
1736140127.308514,78,50895.19921875
1736140301.8790684,79,51462.6015625
1736140478.6546376,80,52035.30078125
1736140654.2707276,81,52599.69921875
1736140828.8817928,82,53162.30078125
1736141004.4038856,83,53732.19921875
1736141180.4285085,84,54303.8984375
1736141356.292469,85,54873.8984375
1736141530.7834787,86,55436.1015625
1736141705.6212304,87,56002.69921875
1736141879.507381,88,56566.80078125
1736142053.605865,89,57132.5
1736142227.8324294,90,57696.3984375
1736142402.2339747,91,58258.0
1736142577.008896,92,58821.19921875
1736142750.557959,93,59382.3984375
1736142924.6220164,94,59947.19921875
1736143099.4713986,95,60513.3984375
1736143272.575288,96,61070.19921875
1736143446.663189,97,61632.80078125
1736143619.514176,98,62193.1015625
1736143794.0120125,99,62760.8984375
1736143969.4542317,100,63329.5
1736144143.2998297,101,63887.5
1736144316.5384896,102,64444.80078125
