Wall time,Step,Value
1736002234.8424613,0,223.8000030517578
1736002301.6160467,1,431.3999938964844
1736002368.5154898,2,638.7999877929688
1736002435.4317741,3,849.9000244140625
1736002501.9301105,4,1057.300048828125
1736002568.8112497,5,1267.699951171875
1736002635.3871026,6,1478.0
1736002705.5240202,7,1699.9000244140625
1736002774.0020366,8,1916.199951171875
1736002843.199434,9,2133.0
1736002912.4914706,10,2351.199951171875
1736002981.142622,11,2568.800048828125
1736003051.7840557,12,2793.39990234375
1736003121.4067352,13,3011.60009765625
1736003191.8724673,14,3233.10009765625
1736003261.5813727,15,3453.699951171875
1736003332.1641507,16,3674.10009765625
1736003403.4972637,17,3900.800048828125
1736003472.894975,18,4115.89990234375
1736003540.140644,19,4325.2998046875
1736003606.7349067,20,4533.60009765625
1736003671.9254715,21,4737.39990234375
1736003741.7118077,22,4958.2998046875
1736003812.129317,23,5180.2998046875
1736003879.773171,24,5392.60009765625
1736003947.5069165,25,5602.60009765625
1736004015.3700871,26,5816.2001953125
1736004083.309987,27,6030.5
1736004149.190297,28,6236.39990234375
1736004215.4178245,29,6441.2998046875
1736004282.1032472,30,6653.7001953125
1736004347.2363534,31,6860.0
1736004413.3482244,32,7069.0
1736004479.3162007,33,7278.39990234375
1736004545.0041242,34,7484.7998046875
1736004610.298604,35,7690.89990234375
1736004675.714301,36,7896.39990234375
1736004740.1091228,37,8098.89990234375
1736004804.654804,38,8303.0
1736004871.3931093,39,8514.2001953125
1736004938.7332475,40,8724.599609375
1736005004.2520428,41,8932.599609375
1736005070.0158982,42,9139.0
1736005135.2666824,43,9344.900390625
1736005201.8705497,44,9553.7998046875
1736005267.0493827,45,9756.900390625
1736005332.1740391,46,9961.900390625
1736005398.9606247,47,10170.599609375
1736005463.6769738,48,10374.099609375
1736005530.9253705,49,10583.900390625
1736005597.4662883,50,10792.099609375
1736005663.55542,51,10997.599609375
1736005730.703967,52,11209.900390625
1736005799.4972825,53,11424.2001953125
1736005868.288283,54,11642.099609375
1736005937.753714,55,11861.2998046875
1736006007.490054,56,12081.099609375
1736006075.4882383,57,12292.0
1736006144.2741454,58,12511.099609375
1736006213.9064445,59,12728.7001953125
1736006283.3912654,60,12947.7001953125
1736006352.9017503,61,13166.7001953125
1736006422.2307463,62,13386.400390625
1736006490.5217285,63,13600.099609375
1736006559.36085,64,13815.2001953125
1736006628.9664166,65,14032.2998046875
1736006698.6208072,66,14251.900390625
1736006769.850028,67,14474.900390625
1736006836.7526777,68,14685.7001953125
1736006902.4050572,69,14893.599609375
1736006969.4631984,70,15103.5
1736007036.5353472,71,15314.099609375
1736007102.9406111,72,15520.7998046875
1736007169.2030716,73,15732.2998046875
1736007234.139459,74,15937.5
1736007302.2378442,75,16151.7001953125
1736007369.7830248,76,16363.5
1736007435.5610793,77,16570.400390625
1736007502.0941591,78,16780.19921875
1736007567.2035081,79,16983.80078125
1736007632.6244972,80,17186.80078125
1736007701.3789942,81,17401.5
1736007769.4551327,82,17615.0
1736007835.3947415,83,17821.400390625
1736007905.7056422,84,18042.5
1736007973.4237094,85,18254.19921875
1736008038.1840444,86,18457.900390625
1736008105.5534341,87,18670.0
1736008173.8002923,88,18882.599609375
1736008244.3575113,89,19106.0
1736008311.552821,90,19315.30078125
1736008377.6459334,91,19524.69921875
1736008445.1038454,92,19738.80078125
1736008510.6890316,93,19943.400390625
1736008578.0641654,94,20156.69921875
1736008644.6454232,95,20366.19921875
1736008709.5475812,96,20569.5
1736008774.9981904,97,20774.5
1736008841.1307905,98,20981.30078125
1736008906.5743484,99,21186.599609375
1736008973.942813,100,21399.19921875
1736009039.2065744,101,21605.5
1736009104.1865518,102,21809.0
1736009171.725506,103,22021.80078125
1736009238.9203706,104,22234.5
1736009306.222036,105,22444.400390625
1736009371.8859081,106,22648.900390625
1736009437.835775,107,22855.099609375
1736009504.6107085,108,23066.599609375
1736009572.018116,109,23278.69921875
1736009638.7814763,110,23489.599609375
