Wall time,Step,Value
1735861821.2369308,0,175.6999969482422
1735861879.1619408,1,357.5
1735861936.4959433,2,536.4000244140625
1735861990.2011812,3,702.5
1735862045.9500177,4,876.4000244140625
1735862101.3188004,5,1047.800048828125
1735862157.3193815,6,1223.199951171875
1735862212.727663,7,1396.5
1735862267.9777954,8,1569.800048828125
1735862323.498873,9,1743.800048828125
1735862379.1640248,10,1917.0
1735862435.082576,11,2093.0
1735862491.3423498,12,2267.699951171875
1735862547.9234962,13,2445.60009765625
1735862604.757465,14,2623.60009765625
1735862663.2310562,15,2804.5
1735862720.8672214,16,2985.300048828125
1735862777.020656,17,3160.5
1735862833.1225328,18,3335.699951171875
1735862888.855798,19,3508.5
1735862946.2548544,20,3687.10009765625
1735863002.275344,21,3862.699951171875
1735863060.1717691,22,4044.60009765625
1735863116.2255177,23,4219.0
1735863174.6805134,24,4401.60009765625
1735863231.9919493,25,4580.7998046875
1735863289.8993392,26,4762.2998046875
1735863347.4470665,27,4943.0
1735863404.1998475,28,5120.60009765625
1735863460.4096236,29,5295.0
1735863516.9658635,30,5471.0
1735863573.0740151,31,5645.2001953125
1735863629.776756,32,5822.7998046875
1735863685.513021,33,5996.5
1735863739.747441,34,6165.2998046875
1735863796.505054,35,6341.5
1735863851.8817172,36,6515.39990234375
1735863908.1618364,37,6690.39990234375
1735863964.201169,38,6867.39990234375
1735864020.7600634,39,7043.89990234375
1735864077.1479313,40,7220.39990234375
1735864133.7853472,41,7396.2001953125
1735864189.2238095,42,7569.2001953125
1735864246.521495,43,7748.39990234375
1735864302.6372428,44,7924.0
1735864359.2829018,45,8102.2001953125
1735864415.7662477,46,8278.0
1735864472.6770341,47,8457.5
1735864529.2153141,48,8633.900390625
1735864584.623795,49,8807.2998046875
1735864640.2568588,50,8981.599609375
1735864696.2942967,51,9157.099609375
1735864753.4486525,52,9335.7001953125
1735864809.2289436,53,9510.900390625
1735864866.4032223,54,9689.7998046875
1735864923.4793067,55,9866.900390625
1735864979.0651748,56,10039.5
1735865034.717464,57,10215.099609375
1735865091.867524,58,10392.900390625
1735865148.174673,59,10569.2998046875
1735865205.6471605,60,10748.900390625
1735865261.7154243,61,10924.2998046875
1735865316.2846963,62,11095.2998046875
1735865371.63452,63,11267.400390625
1735865427.8798175,64,11443.2998046875
1735865485.5981956,65,11626.2001953125
1735865540.5666614,66,11798.900390625
1735865597.0172887,67,11975.2998046875
1735865653.2002747,68,12150.400390625
1735865709.7590325,69,12327.7998046875
1735865765.143731,70,12500.7001953125
1735865821.2587123,71,12677.2998046875
1735865877.1003428,72,12852.2001953125
1735865932.4094272,73,13025.2001953125
1735865988.4564004,74,13199.400390625
1735866043.90246,75,13371.7998046875
1735866098.980214,76,13543.7001953125
1735866156.8612676,77,13724.7001953125
1735866213.1195297,78,13899.0
1735866268.494001,79,14072.599609375
1735866322.3198495,80,14242.5
1735866378.6327202,81,14419.7998046875
1735866435.1874645,82,14596.599609375
1735866491.3418434,83,14772.0
1735866547.9790816,84,14947.400390625
1735866602.7728302,85,15118.7998046875
1735866659.0595644,86,15293.900390625
1735866716.0790377,87,15470.400390625
1735866772.4868615,88,15647.7998046875
1735866828.7863626,89,15824.5
1735866884.406264,90,15997.2998046875
1735866942.000351,91,16176.7001953125
1735866998.6638906,92,16352.5
1735867055.528985,93,16529.69921875
1735867111.306747,94,16707.0
1735867166.9170456,95,16880.400390625
1735867221.1323423,96,17050.5
1735867277.836628,97,17230.19921875
1735867334.1851652,98,17406.80078125
1735867390.7112582,99,17582.099609375
1735867447.9593205,100,17759.69921875
1735867503.8664765,101,17934.900390625
1735867559.097693,102,18110.80078125
1735867615.6894834,103,18286.900390625
1735867672.6059651,104,18464.400390625
1735867729.6165242,105,18642.80078125
1735867786.1528714,106,18820.599609375
1735867842.7085576,107,18997.80078125
1735867898.7824016,108,19172.599609375
1735867954.7245355,109,19348.099609375
1735868012.1302574,110,19526.80078125
1735868067.7737992,111,19701.5
1735868124.8518171,112,19881.19921875
1735868180.5973277,113,20056.0
1735868236.368117,114,20230.19921875
1735868291.357411,115,20402.69921875
1735868346.896227,116,20576.900390625
1735868402.5398605,117,20751.5
1735868459.469632,118,20932.19921875
1735868515.5660717,119,21105.900390625
1735868570.9112666,120,21280.80078125
1735868627.1542416,121,21457.69921875
1735868684.8620152,122,21639.900390625
1735868740.5635746,123,21815.0
1735868795.2897868,124,21987.19921875
1735868849.951695,125,22157.0
1735868905.4867442,126,22331.30078125
1735868961.1415365,127,22505.30078125
1735869018.2212422,128,22683.0
1735869073.8624663,129,22856.30078125
1735869129.4484475,130,23029.5
1735869185.2790012,131,23203.900390625
1735869240.744615,132,23378.80078125
1735869296.9748795,133,23554.099609375
1735869352.539181,134,23726.900390625
1735869408.075059,135,23901.5
1735869464.6714277,136,24078.599609375
1735869519.8735304,137,24248.900390625
1735869577.871562,138,24431.599609375
1735869634.644285,139,24608.099609375
1735869691.0565288,140,24785.599609375
1735869745.8162208,141,24955.599609375
1735869803.3372848,142,25135.80078125
1735869860.4102747,143,25313.400390625
1735869916.7385688,144,25489.0
1735869972.2588532,145,25664.69921875
1735870029.0193896,146,25841.5
1735870082.1439772,147,26008.19921875
1735870138.7598372,148,26183.900390625
1735870194.916513,149,26356.80078125
1735870252.4086666,150,26537.099609375
1735870309.091188,151,26714.19921875
1735870366.2995222,152,26892.099609375
1735870422.6633387,153,27071.400390625
1735870479.5757713,154,27251.599609375
1735870538.514755,155,27435.30078125
1735870595.5128388,156,27611.69921875
