Wall time,Step,Value
1735948122.9713597,0,174.89999389648438
1735948177.0536036,1,342.20001220703125
1735948229.0099747,2,501.8999938964844
1735948283.48534,3,670.9000244140625
1735948336.492516,4,838.5
1735948387.4607427,5,996.9000244140625
1735948441.0941594,6,1164.300048828125
1735948494.0151463,7,1331.5
1735948548.0322435,8,1500.199951171875
1735948601.6234443,9,1666.9000244140625
1735948655.0842402,10,1832.5999755859375
1735948708.656085,11,1999.5
1735948763.1505387,12,2169.199951171875
1735948817.3883276,13,2339.60009765625
1735948870.858643,14,2506.800048828125
1735948926.0917134,15,2679.39990234375
1735948979.8888843,16,2847.5
1735949033.018098,17,3013.60009765625
1735949087.8911278,18,3185.0
1735949141.01209,19,3351.5
1735949193.7173293,20,3515.199951171875
1735949247.2573185,21,3682.39990234375
1735949299.8074183,22,3844.300048828125
1735949353.3272774,23,4009.39990234375
1735949406.6042438,24,4176.7001953125
1735949459.179018,25,4343.39990234375
1735949512.4770439,26,4508.39990234375
1735949566.6406298,27,4676.2001953125
1735949620.2785828,28,4844.89990234375
1735949673.0855944,29,5007.89990234375
1735949727.2647817,30,5177.7001953125
1735949782.004762,31,5349.39990234375
1735949836.2251,32,5519.0
1735949889.3183093,33,5686.0
1735949941.9269295,34,5851.89990234375
1735949995.428583,35,6018.39990234375
1735950050.2615478,36,6190.5
1735950101.8274794,37,6352.7001953125
1735950155.6014304,38,6520.2001953125
1735950208.1197407,39,6682.89990234375
1735950260.919079,40,6846.0
1735950315.5440078,41,7016.0
1735950368.6876256,42,7181.0
1735950422.339392,43,7348.10009765625
1735950476.7770693,44,7517.0
1735950531.4973693,45,7686.89990234375
1735950583.9141686,46,7849.7001953125
1735950637.6706336,47,8019.2998046875
1735950690.4870958,48,8185.2001953125
1735950744.134944,49,8352.7998046875
1735950799.1097848,50,8525.400390625
1735950853.3554614,51,8695.099609375
1735950906.979492,52,8863.2998046875
1735950959.7239368,53,9028.900390625
1735951012.6738567,54,9195.0
1735951064.340446,55,9357.2001953125
1735951118.4107468,56,9524.599609375
1735951169.6663427,57,9692.599609375
1735951218.0324945,58,9843.599609375
1735951265.8063848,59,9991.7001953125
1735951313.6139228,60,10139.5
1735951362.9976807,61,10293.7001953125
1735951411.2707286,62,10446.599609375
1735951458.395234,63,10592.900390625
1735951506.6255517,64,10743.7998046875
1735951555.1374352,65,10895.7001953125
1735951604.4146698,66,11049.7001953125
1735951653.6170204,67,11199.099609375
1735951704.5862787,68,11358.599609375
1735951755.0474918,69,11515.900390625
1735951805.7394283,70,11675.2001953125
1735951856.841554,71,11834.7001953125
1735951907.4708955,72,11992.5
1735951957.7707546,73,12149.0
1735952009.0801172,74,12309.099609375
1735952058.0123181,75,12462.400390625
1735952107.7106757,76,12616.7001953125
1735952156.935876,77,12771.2001953125
1735952205.4241214,78,12920.2998046875
1735952254.4497628,79,13074.900390625
1735952304.270188,80,13230.400390625
1735952353.8695662,81,13385.400390625
1735952403.4759028,82,13540.099609375
1735952452.58736,83,13692.7998046875
1735952501.8798966,84,13847.099609375
1735952550.4204473,85,13996.7998046875
1735952598.3220997,86,14146.7998046875
1735952647.155225,87,14298.7001953125
1735952694.9495096,88,14449.2001953125
1735952744.2179444,89,14602.7001953125
1735952792.4750726,90,14756.2001953125
1735952840.4882133,91,14907.099609375
1735952889.271138,92,15058.2998046875
1735952939.2602198,93,15215.7998046875
1735952987.8517625,94,15365.900390625
1735953036.821182,95,15517.2998046875
1735953084.5102315,96,15666.2001953125
1735953132.859126,97,15819.0
1735953182.2935395,98,15973.099609375
1735953232.458576,99,16132.2001953125
1735953283.5422308,100,16290.400390625
1735953333.8976662,101,16445.400390625
1735953385.4409986,102,16606.0
1735953435.7594051,103,16761.19921875
1735953485.9991367,104,16918.0
1735953532.4938517,105,17062.400390625
1735953577.438016,106,17205.0
1735953623.425016,107,17348.19921875
1735953669.7859442,108,17492.69921875
1735953715.5846164,109,17635.099609375
1735953760.942452,110,17777.5
1735953805.9052942,111,17915.5
1735953852.974894,112,18063.099609375
1735953898.1692016,113,18204.5
1735953944.5246956,114,18350.5
1735953990.2273116,115,18493.599609375
1735954036.7148814,116,18639.099609375
1735954082.8334165,117,18783.80078125
1735954128.518612,118,18926.69921875
1735954175.8935661,119,19076.19921875
1735954222.7731347,120,19223.0
1735954268.845175,121,19365.5
