Wall time,Step,Value
1736317740.3096795,0,512.2999877929688
1736317911.715162,1,1059.699951171875
1736318084.4343688,2,1615.199951171875
1736318257.879651,3,2176.800048828125
1736318431.4500792,4,2740.39990234375
1736318607.5112128,5,3310.39990234375
1736318785.5146313,6,3877.10009765625
1736318960.9951274,7,4441.89990234375
1736319135.798673,8,5008.89990234375
1736319309.9313624,9,5572.89990234375
1736319485.658566,10,6141.7001953125
1736319658.9999626,11,6698.7998046875
1736319833.6394885,12,7260.5
1736320006.9467084,13,7822.10009765625
1736320178.5592618,14,8379.7001953125
1736320351.672901,15,8941.7001953125
1736320523.2789571,16,9493.7001953125
1736320695.872796,17,10049.900390625
1736320868.538351,18,10610.400390625
1736321040.6270638,19,11166.2001953125
1736321213.3879285,20,11721.900390625
1736321384.9888647,21,12272.900390625
1736321577.0044832,22,12904.7001953125
1736321842.4894485,23,13747.7998046875
1736322116.578216,24,14634.0
1736322392.0108216,25,15519.0
1736322657.2755828,26,16413.400390625
1736322831.0119,27,16974.599609375
1736323002.2871864,28,17527.5
1736323175.8505216,29,18094.19921875
1736323351.7757163,30,18661.30078125
1736323525.8756728,31,19219.19921875
1736323697.8571365,32,19772.80078125
1736323870.4853635,33,20332.69921875
1736324044.9859433,34,20900.0
1736324220.7574997,35,21465.80078125
1736324393.5749142,36,22022.0
1736324567.0735862,37,22580.69921875
1736324739.5436158,38,23137.599609375
1736324912.690071,39,23698.80078125
1736325086.1410947,40,24257.0
1736325256.9773123,41,24806.400390625
1736325433.4524798,42,25376.0
1736325606.5545943,43,25935.900390625
1736325779.1969492,44,26494.80078125
1736325952.4641626,45,27050.599609375
1736326122.0845816,46,27597.19921875
1736326293.7553856,47,28149.0
1736326464.896724,48,28708.099609375
1736326634.6007807,49,29262.69921875
1736326806.71984,50,29817.19921875
1736326978.1093135,51,30371.30078125
1736327151.0853868,52,30926.69921875
1736327320.2049491,53,31475.30078125
1736327488.0114663,54,32020.099609375
1736327657.5121744,55,32566.80078125
1736327828.8515043,56,33117.1015625
1736327999.8394802,57,33665.80078125
1736328169.9497976,58,34216.80078125
1736328340.0322182,59,34768.6015625
1736328510.8763745,60,35320.8984375
1736328681.1524737,61,35866.5
1736328848.9970658,62,36408.6015625
1736329020.9405017,63,36966.6015625
1736329190.4339797,64,37517.30078125
1736329362.5234218,65,38075.8984375
1736329532.344724,66,38619.1015625
1736329704.6857095,67,39171.5
1736329872.2185607,68,39712.69921875
1736330041.033112,69,40262.8984375
1736330209.0957284,70,40806.1015625
1736330379.0173974,71,41351.3984375
1736330548.7605062,72,41897.80078125
1736330716.1762643,73,42441.1015625
1736330886.2020686,74,42992.6015625
1736331053.8847542,75,43535.3984375
1736331222.2389045,76,44077.6015625
1736331389.3860228,77,44618.30078125
1736331557.010577,78,45162.8984375
