Wall time,Step,Value
1736177762.8304896,0,506.1000061035156
1736177934.4849432,1,1051.9000244140625
1736178106.7828405,2,1604.9000244140625
1736178280.641563,3,2164.699951171875
1736178455.8625813,4,2734.699951171875
1736178632.2898595,5,3307.5
1736178807.3562672,6,3872.800048828125
1736178981.230534,7,4435.0
1736179156.1095774,8,4999.5
1736179331.262309,9,5566.7998046875
1736179507.980964,10,6137.2998046875
1736179682.139401,11,6697.0
1736179856.7842524,12,7263.7998046875
1736180029.6762733,13,7821.2001953125
1736180203.1084714,14,8386.2001953125
1736180376.7890472,15,8948.099609375
1736180548.7014384,16,9501.0
1736180718.1577702,17,10049.0
1736180888.572452,18,10600.5
1736181058.194831,19,11150.400390625
1736181229.8542318,20,11707.5
1736181402.6214852,21,12261.7998046875
1736181574.3609922,22,12814.5
1736181744.4438002,23,13367.900390625
1736181916.3882215,24,13925.7001953125
1736182089.3841147,25,14485.2998046875
1736182259.5612788,26,15031.099609375
1736182428.7446551,27,15577.7001953125
1736182597.8638697,28,16121.2001953125
1736182767.381671,29,16673.69921875
1736182939.3728116,30,17227.0
1736183108.711187,31,17773.599609375
1736183278.0123696,32,18319.599609375
1736183446.5220726,33,18865.5
1736183616.8147619,34,19419.19921875
1736183786.0384462,35,19963.099609375
1736183954.8480492,36,20505.400390625
1736184124.0130134,37,21050.69921875
1736184292.7363737,38,21594.5
1736184460.7639122,39,22137.30078125
1736184629.311238,40,22680.5
1736184798.1293812,41,23220.0
1736184966.406823,42,23761.30078125
1736185135.9864163,43,24312.0
1736185305.164397,44,24864.30078125
1736185476.5114577,45,25418.0
1736185646.2391672,46,25962.099609375
1736185814.1882498,47,26502.099609375
1736185983.2155435,48,27047.0
1736186150.7260525,49,27591.30078125
1736186320.0494978,50,28140.099609375
1736186488.130563,51,28681.69921875
1736186657.0722294,52,29226.30078125
1736186826.3054664,53,29776.599609375
1736186995.5776002,54,30325.599609375
1736187164.369747,55,30869.30078125
1736187332.1902058,56,31411.400390625
1736187499.8136754,57,31952.099609375
1736187668.2207878,58,32495.80078125
1736187838.1213646,59,33044.19921875
1736188007.2871501,60,33589.80078125
1736188175.070181,61,34131.8984375
1736188343.192978,62,34668.5
