Wall time,Step,Value
1736206175.4602234,0,75.5999984741211
1736206199.205511,1,150.10000610351562
1736206224.1958294,2,227.60000610351562
1736206248.9543998,3,305.70001220703125
1736206273.5006416,4,382.8999938964844
1736206298.2488241,5,461.79998779296875
1736206322.4568608,6,537.0999755859375
1736206346.4841719,7,612.7000122070312
1736206370.3233387,8,686.5
1736206395.0432405,9,764.5999755859375
1736206419.9632306,10,843.2999877929688
1736206444.7359247,11,919.9000244140625
1736206469.029512,12,996.5
1736206493.57815,13,1072.4000244140625
1736206518.5456684,14,1150.800048828125
1736206542.7252429,15,1226.4000244140625
1736206566.4112654,16,1300.0999755859375
1736206590.4562383,17,1373.800048828125
1736206615.244667,18,1451.5999755859375
1736206639.6299326,19,1526.699951171875
1736206663.8708642,20,1603.0999755859375
1736206687.906897,21,1677.800048828125
1736206712.5500505,22,1754.5999755859375
1736206737.2839413,23,1830.699951171875
1736206761.43746,24,1905.9000244140625
1736206786.1870298,25,1983.5
1736206810.5127206,26,2059.10009765625
1736206834.4765851,27,2133.5
1736206859.055964,28,2210.800048828125
1736206883.14894,29,2287.10009765625
1736206907.404256,30,2363.39990234375
1736206931.2519367,31,2437.60009765625
1736206955.2638118,32,2512.10009765625
1736206979.035852,33,2586.39990234375
1736207002.9443374,34,2661.5
1736207027.305151,35,2737.699951171875
1736207050.7781863,36,2810.699951171875
1736207074.963758,37,2886.199951171875
1736207098.8223712,38,2960.800048828125
1736207123.0969868,39,3035.89990234375
1736207147.9912431,40,3114.60009765625
1736207171.8862448,41,3187.800048828125
1736207196.3088274,42,3264.699951171875
1736207220.7923849,43,3342.0
1736207245.145131,44,3418.0
1736207270.2617111,45,3496.10009765625
1736207294.31204,46,3569.199951171875
1736207319.207675,47,3646.800048828125
1736207343.7371967,48,3723.39990234375
1736207367.3754325,49,3797.89990234375
1736207391.5041854,50,3874.0
1736207416.25263,51,3951.199951171875
1736207440.4873228,52,4026.800048828125
1736207464.1221633,53,4100.89990234375
1736207488.2435808,54,4174.7998046875
1736207512.6603837,55,4251.2001953125
1736207537.4113932,56,4328.39990234375
1736207561.3222764,57,4401.2001953125
1736207585.7580388,58,4477.39990234375
1736207609.8186526,59,4552.5
1736207635.1754675,60,4631.60009765625
1736207659.4440632,61,4708.2998046875
1736207683.6752012,62,4784.0
1736207707.6028767,63,4859.60009765625
1736207731.194712,64,4933.7001953125
1736207756.0078886,65,5010.39990234375
1736207779.8951364,66,5085.7001953125
1736207804.2962372,67,5162.39990234375
1736207829.1698244,68,5238.89990234375
1736207853.217993,69,5313.5
1736207876.8378465,70,5385.2998046875
1736207900.9578242,71,5461.2001953125
1736207924.8003294,72,5535.7001953125
1736207949.0222716,73,5612.39990234375
1736207972.8790371,74,5688.10009765625
1736207997.8242543,75,5766.7001953125
1736208022.506407,76,5843.10009765625
1736208047.0378861,77,5919.7998046875
1736208070.9329581,78,5994.7001953125
1736208094.8082285,79,6069.2998046875
1736208119.805161,80,6147.2998046875
1736208143.957653,81,6223.5
1736208168.3726573,82,6299.60009765625
1736208192.6073167,83,6375.10009765625
1736208216.4325342,84,6450.10009765625
1736208239.7757735,85,6523.39990234375
1736208263.3174088,86,6595.7998046875
1736208287.1750224,87,6670.10009765625
1736208310.2844536,88,6742.0
1736208334.287951,89,6817.60009765625
1736208357.6501937,90,6891.2001953125
1736208381.9475708,91,6967.0
1736208406.2075593,92,7042.2998046875
1736208430.2011452,93,7116.7998046875
1736208454.6245685,94,7192.89990234375
1736208478.934116,95,7269.5
1736208503.868448,96,7347.39990234375
1736208527.8290682,97,7423.2001953125
1736208552.009799,98,7498.7001953125
1736208576.2985876,99,7574.7001953125
1736208600.2205758,100,7648.7001953125
1736208624.1418426,101,7722.5
1736208648.063843,102,7797.39990234375
1736208671.724329,103,7870.7001953125
1736208695.453255,104,7945.60009765625
1736208719.106473,105,8017.89990234375
1736208743.6833532,106,8092.7001953125
1736208767.3500338,107,8165.7001953125
1736208791.3712263,108,8241.0
1736208815.428757,109,8316.7001953125
1736208838.7061148,110,8388.2998046875
1736208862.957007,111,8463.900390625
1736208887.4671018,112,8540.0
1736208911.3515947,113,8613.900390625
1736208935.1144814,114,8688.599609375
1736208959.6062849,115,8764.5
1736208984.2363467,116,8840.900390625
1736209009.5448143,117,8919.0
1736209034.5186543,118,8996.5
1736209058.830446,119,9073.0
1736209083.3298216,120,9150.2998046875
1736209107.4009986,121,9224.7998046875
1736209131.97594,122,9301.2001953125
1736209155.91674,123,9375.5
1736209179.7525976,124,9449.099609375
1736209204.2738855,125,9524.7001953125
1736209228.1854954,126,9599.900390625
1736209251.67862,127,9673.400390625
