Wall time,Step,Value
1736236936.9535344,0,648.7000122070312
1736237136.3408332,1,1291.199951171875
1736237336.6455677,2,1939.199951171875
1736237537.7840369,3,2592.60009765625
1736237740.2222714,4,3253.39990234375
1736237945.6369793,5,3920.39990234375
1736238150.1484592,6,4579.0
1736238355.680892,7,5244.10009765625
1736238562.2812967,8,5916.0
1736238769.9842749,9,6594.39990234375
1736238980.6412125,10,7278.89990234375
1736239189.1894362,11,7951.2001953125
1736239397.8824213,12,8627.7001953125
1736239606.6303456,13,9307.2001953125
1736239815.895832,14,9990.7998046875
1736240027.0209384,15,10677.5
1736240235.902686,16,11351.400390625
1736240445.077958,17,12029.599609375
1736240654.2368925,18,12710.2998046875
1736240863.1221497,19,13393.099609375
1736241073.9319417,20,14079.2001953125
1736241282.810788,21,14753.0
1736241491.588761,22,15429.7998046875
1736241700.5269344,23,16110.599609375
1736241909.3538885,24,16793.599609375
1736242120.2425463,25,17479.30078125
1736242328.962059,26,18152.599609375
1736242537.8182538,27,18829.19921875
1736242746.4032989,28,19508.19921875
1736242954.9525366,29,20190.19921875
1736243165.4120944,30,20875.0
1736243374.0716944,31,21548.19921875
1736243582.368727,32,22222.900390625
1736243790.765226,33,22901.0
