Wall time,Step,Value
1736115835.3829753,0,1121.4000244140625
1736116171.3121498,1,2205.60009765625
1736116507.360375,2,3293.699951171875
1736116844.4338577,3,4389.7998046875
1736117183.151728,4,5495.39990234375
1736117526.7012897,5,6610.5
1736117868.4302413,6,7711.2998046875
1736118212.0340638,7,8824.2001953125
1736118558.110102,8,9949.400390625
1736118906.9621272,9,11088.0
1736119261.60904,10,12240.2001953125
1736119615.3088236,11,13379.7998046875
1736119970.3834565,12,14529.400390625
1736120326.248972,13,15687.7001953125
1736120682.7307703,14,16853.400390625
1736121043.2096784,15,18025.5
1736121400.4908595,16,19178.19921875
1736121758.057068,17,20337.80078125
1736122115.9393167,18,21503.19921875
1736122473.7764204,19,22673.599609375
1736122835.340854,20,23849.30078125
1736123193.6302826,21,25004.69921875
1736123551.3899,22,26164.69921875
1736123909.0993378,23,27329.69921875
1736124266.4554462,24,28499.30078125
