network:,densenet,depth,121,Loss:CrossEntropy,Dataset:,cifar100,Optimizer:,adam_mod,LearningRate:,0.1,BatchSize:,128,EpochRange:,300
Epoch,Train_Loss,Train_Accuracy,Train_Time
1,4.512098078227714,3.256,151.4
2,4.302415874608032,5.24,302.8
3,4.28692396827366,5.314,452.1
4,4.276554168642634,5.604,598.6
5,4.271507819290356,5.512,748.3
6,4.260263167378848,5.466,897.7
7,4.255629189483955,5.766,1047.9
8,4.253671396114028,5.842,1196.7
9,4.249774707247839,5.784,1345.0
10,4.251338186776242,5.75,1497.4
11,4.139015678249661,7.984,1650.9
12,4.063593671754803,9.192,1805.5
13,4.027679100061012,9.684,1954.5
14,4.002882433059575,10.038,2101.3
15,3.98864960060705,10.212,2253.4
16,3.9778935311700376,10.656,2400.8
17,3.971789527732088,10.924,2553.5
18,3.9698397613242458,10.824,2703.7
19,3.9647994273154024,11.034,2852.2
20,3.961853144418858,11.014,3002.6
21,3.955774967017991,11.224,3153.5
22,3.9570630694289344,11.104,3304.4
23,3.953163465880372,11.07,3452.3
24,3.951732133660475,11.36,3600.3
25,3.9454627994381255,11.446,3753.1
26,3.9418509866270566,11.55,3902.8
27,3.941378355026245,11.472,4055.0
28,3.9368490904493405,11.67,4203.9
29,3.937234021818546,11.49,4353.5
30,3.9327649314080357,11.782,4507.5
31,3.895073453483679,12.694,4652.6
32,3.888989060736068,12.804,4797.9
33,3.883114345238337,12.882,4945.7
34,3.882426619224841,13.01,5095.2
35,3.8796995484920416,12.988,5244.4
36,3.8770041752349385,13.17,5391.9
37,3.87596688916921,13.276,5539.6
38,3.871899834679216,13.086,5692.8
39,3.868066857842838,13.176,5838.3
40,3.869153938634926,13.28,5988.0
41,3.8652202418393187,13.338,6137.8
42,3.8628014829152684,13.396,6287.9
43,3.8626572445530414,13.336,6438.4
44,3.8605830834039945,13.51,6592.7
45,3.859162727585229,13.434,6738.8
46,3.8583594899043403,13.512,6888.6
47,3.8543563761064767,13.598,7038.5
48,3.8535421388533413,13.56,7187.2
49,3.8490409338870624,13.648,7338.2
50,3.848349471226373,13.822,7490.9
51,3.844043242656971,13.766,7636.5
52,3.842194377308916,13.85,7789.0
53,3.8414090222409922,14.002,7937.5
54,3.839188811724143,13.948,8083.6
55,3.840135903004795,13.89,8229.7
56,3.838744876329856,13.96,8379.0
57,3.8398881525639683,13.926,8525.6
58,3.836017572056607,13.942,8677.2
59,3.8383399159707072,13.89,8826.1
60,3.833898376625822,14.08,8980.0
61,3.83572306535433,14.002,9131.7
62,3.8364209921463677,14.046,9281.5
63,3.8346247234003012,14.1,9433.2
64,3.833643710826669,14.216,9584.7
65,3.834674883376607,14.07,9735.1
66,3.832157935632769,14.12,9882.3
67,3.8328440000334054,14.17,10030.7
68,3.8314216594257013,14.082,10182.8
69,3.8306470216082795,14.116,10329.7
70,3.8313097392811493,14.138,10480.6
71,3.83170871051681,14.308,10627.9
72,3.829597639000934,14.104,10774.1
73,3.8295954316473373,14.064,10923.6
74,3.82715938219329,14.26,11075.7
75,3.827568020052312,14.326,11225.7
76,3.8291277726897803,14.172,11377.5
77,3.8266420919267112,14.19,11525.7
78,3.8253535157274405,14.31,11672.6
79,3.8273485822750786,14.14,11821.9
80,3.8263688044779745,14.198,11973.1
81,3.825526739935131,14.124,12120.3
82,3.824887211060585,14.21,12269.9
83,3.825026713978604,14.228,12417.9
84,3.8238814535653196,14.312,12570.7
85,3.8229335787351175,14.468,12718.0
86,3.823149296938611,14.268,12870.0
87,3.820428543993274,14.43,13019.3
88,3.8175127408693514,14.388,13168.0
89,3.8185213734121883,14.4,13320.2
90,3.816484026896679,14.414,13465.1
91,3.817390524822733,14.37,13616.0
92,3.8159941419616077,14.46,13763.6
93,3.816250879746264,14.538,13916.4
94,3.8160143221735647,14.51,14063.6
95,3.815131663666357,14.486,14212.7
96,3.8170131204073385,14.532,14363.5
97,3.814118876786488,14.554,14510.9
98,3.81128591100883,14.668,14664.9
99,3.813413975488804,14.37,14812.9
100,3.811684571263735,14.452,14966.5
101,3.8096694988972697,14.462,15118.6
102,3.8089878748140067,14.634,15266.0
103,3.807741188942014,14.68,15418.2
104,3.8086405946775472,14.584,15567.2
105,3.807888877971093,14.71,15718.7
106,3.809588550606652,14.582,15872.8
107,3.8097549618967355,14.68,16022.6
108,3.8082461040038282,14.55,16174.0
109,3.807944546575132,14.644,16326.9
110,3.806777671170052,14.736,16476.6
111,3.8088462816174986,14.508,16624.5
112,3.8065798063107463,14.67,16772.6
113,3.8066021932665346,14.702,16922.0
114,3.808773397484704,14.566,17070.4
115,3.80955351649038,14.548,17217.5
116,3.808356885105143,14.454,17368.2
117,3.8069694871487827,14.598,17517.6
118,3.808755199012854,14.616,17661.8
119,3.8069907064023227,14.654,17813.3
120,3.80585734496641,14.554,17963.3
121,3.806811167456,14.644,18111.6
122,3.8049890318185167,14.784,18266.0
123,3.806598360276283,14.638,18414.2
124,3.8060967025854398,14.792,18566.9
125,3.8051328360272185,14.528,18714.9
126,3.8072220888893926,14.646,18865.5
127,3.8051047459282836,14.592,19011.9
128,3.8058780818948965,14.734,19165.6
129,3.8044313780791925,14.776,19312.5
130,3.80652178339946,14.628,19460.4
131,3.8039022071282274,14.836,19614.6
132,3.805313004252246,14.728,19762.6
133,3.8073340998891063,14.856,19916.2
134,3.8044986493142363,14.814,20068.5
135,3.805811083225338,14.628,20215.0
136,3.8048611486049566,14.648,20361.8
137,3.804937247425089,14.82,20511.7
138,3.8065785410459085,14.386,20658.3
139,3.8053390613907134,14.75,20810.6
140,3.806272425005198,14.67,20958.3
141,3.8034192820644135,14.57,21107.7
142,3.8050050144000434,14.68,21254.1
143,3.8027689713041495,14.702,21403.5
144,3.8057103291192016,14.676,21555.6
145,3.8044541766271567,14.702,21705.2
146,3.8042508860683197,14.674,21852.2
147,3.8061196682093392,14.642,22000.8
148,3.8043374996965804,14.708,22151.1
149,3.8038931386854946,14.78,22298.6
150,3.804200507795719,14.758,22446.4
151,3.803101848153507,14.826,22596.9
152,3.8038137312740314,14.534,22747.5
153,3.803107604956078,14.662,22896.8
154,3.8043796607600453,14.77,23049.7
155,3.8034725061158086,14.71,23199.0
156,3.8039973099213427,14.67,23351.6
157,3.8051351067964987,14.602,23503.3
158,3.8041671962689256,14.724,23653.0
159,3.805802173321814,14.718,23803.8
160,3.8031050097911865,14.744,23952.0
161,3.8052829848530956,14.8,24101.9
162,3.8058119137268847,14.654,24251.4
163,3.8023073618369336,14.814,24400.4
164,3.806200557962403,14.732,24549.7
165,3.801085979432401,14.824,24699.6
166,3.8050565201303232,14.808,24847.9
167,3.8036052644100335,14.572,24998.1
168,3.8045773323234693,14.732,25144.9
169,3.803511592738159,14.548,25293.0
170,3.802888312303197,14.678,25447.7
171,3.804669741169571,14.704,25596.9
172,3.8040897712073365,14.728,25751.2
173,3.8043985970489813,14.652,25898.9
174,3.8040276049348094,14.61,26049.6
