network:,densenet,depth,121,Loss:CrossEntropy,Dataset:,cifar100,Optimizer:,dngd,LearningRate:,0.1,BatchSize:,128,EpochRange:,300
Epoch,Train_Loss,Train_Accuracy,Train_Time
1,4.081347742348986,9.562,146.6
2,3.4548375576048556,21.588,283.2
3,2.986457547263416,32.872,425.8
4,2.699898482588551,40.734,563.1
5,2.5243775234807786,45.946,700.3
6,2.404649117413689,49.728,840.8
7,2.321393616059247,51.968,982.1
8,2.252738944404875,54.26,1122.7
9,2.2001113830624943,55.794,1262.1
10,2.165122403513135,56.914,1405.5
11,1.837418322063163,68.268,1542.6
12,1.7396139839421147,71.684,1682.9
13,1.697827344965142,72.922,1825.9
14,1.6654436716338252,73.996,1965.8
15,1.6408087624918164,74.872,2108.5
16,1.619153168805115,75.712,2249.8
17,1.595006418959869,76.272,2388.3
18,1.5670202961358268,77.39,2527.8
19,1.5523487070332402,77.78,2673.7
20,1.538048968290734,78.296,2811.2
21,1.519973635978406,78.862,2956.2
22,1.5063264086423322,79.138,3102.4
23,1.492714683722962,79.822,3248.3
24,1.4806012232285326,79.978,3391.4
25,1.4651964250427987,80.678,3529.0
26,1.456356640362069,80.856,3668.6
27,1.4435726218211375,81.37,3808.4
28,1.4354823745425096,81.63,3948.8
29,1.4253248583020457,82.05,4088.6
30,1.4140542919373573,82.384,4225.8
31,1.2936904683442372,87.442,4370.6
32,1.25332575716326,88.96,4509.9
33,1.2357955808224885,89.63,4647.9
34,1.2274045636281943,89.93,4788.3
35,1.2166895869442873,90.322,4930.1
36,1.2085594637009798,90.702,5070.9
37,1.2021112515188543,90.832,5212.5
38,1.1963851137844193,91.026,5353.7
39,1.1930405355780327,91.138,5496.0
40,1.1874854839061533,91.444,5637.7
41,1.1832947298084073,91.588,5782.1
42,1.1791625157036745,91.616,5923.1
43,1.1744742725816224,91.848,6062.1
44,1.1713830055788046,92.002,6202.8
45,1.165774902419361,92.232,6346.7
46,1.160386453809031,92.324,6486.9
47,1.1597128347362704,92.334,6630.4
48,1.151954512766865,92.614,6771.9
49,1.1500656138295713,92.642,6911.4
50,1.147319422353564,92.876,7055.0
51,1.1337753830053616,93.37,7196.9
52,1.1320423768914265,93.486,7337.4
53,1.1273658171943997,93.668,7479.2
54,1.1282595295430449,93.612,7622.2
55,1.1273785049043348,93.556,7763.7
56,1.1267731208020768,93.586,7904.2
57,1.1250439257268101,93.744,8043.2
