network:,densenet,depth,121,Loss:CrossEntropy,Dataset:,cifar100,Optimizer:,sgd_mod,LearningRate:,0.1,BatchSize:,128,EpochRange:,300
Epoch,Train_Loss,Train_Accuracy,Train_Time
1,4.073138194925645,9.608,139.6
2,3.589981107760573,18.872,274.4
3,3.197876411325791,27.71,408.7
4,2.9249363280928042,34.574,543.3
5,2.7281845768394373,39.984,678.8
6,2.5855557534395888,44.132,816.6
7,2.4783903704884716,47.26,950.1
8,2.3891590653782915,49.624,1086.6
9,2.3236694744480846,51.834,1224.4
10,2.2669333820147894,53.364,1357.6
11,1.9314903273911732,64.678,1492.1
12,1.8260104153162378,67.94,1624.8
13,1.7785115312127506,69.654,1759.9
14,1.7464021520541453,70.73,1896.6
15,1.717478776526878,71.42,2035.5
16,1.6867979185660478,72.488,2171.8
17,1.6650298147860085,73.326,2306.2
18,1.6418147099292493,73.974,2442.1
19,1.6225912580099862,74.49,2579.3
20,1.6042883655299311,74.9,2716.8
21,1.5898839735314059,75.492,2851.6
22,1.572983278947718,75.796,2985.0
23,1.5555406528360702,76.504,3118.4
24,1.545012785040814,76.88,3252.1
25,1.5276779354075947,77.458,3386.2
26,1.5232144957003386,77.626,3522.1
27,1.5066166021634855,78.06,3656.9
28,1.504385660371512,78.26,3795.7
29,1.4875104902955272,78.864,3928.6
30,1.484539518270956,78.802,4061.2
31,1.3403035694985743,84.384,4198.0
32,1.2935494147908047,86.174,4334.1
33,1.2768160409634681,86.848,4470.1
34,1.2657800934198873,87.19,4605.0
35,1.2548142016086432,87.574,4739.7
36,1.2448409262215694,87.94,4874.3
37,1.2400600141881373,88.106,5010.9
38,1.2326001252054863,88.338,5145.9
39,1.2323298228671178,88.322,5286.2
40,1.2216868760335782,88.762,5430.7
41,1.2173469664190737,88.908,5575.2
42,1.2120641927280085,89.12,5715.1
43,1.205117422601451,89.478,5859.9
44,1.201622861120707,89.408,6002.7
45,1.1983960171794648,89.63,6139.2
46,1.1933540081429055,89.724,6286.8
47,1.1908265864452743,89.74,6427.9
48,1.186836515851033,89.952,6568.2
49,1.1826485258234127,90.234,6710.5
50,1.1774900630307015,90.176,6854.4
51,1.1580949756495482,91.064,6991.8
52,1.1530147653711422,91.38,7133.6
53,1.1510434226916575,91.494,7276.9
54,1.148492778658562,91.466,7420.7
55,1.1494032388452984,91.38,7560.3
56,1.149932968951857,91.314,7707.6
57,1.1485870875361022,91.442,7851.1
58,1.1490170083692313,91.52,7995.7
59,1.1455511857786447,91.652,8143.5
60,1.1442110895195885,91.784,8288.2
61,1.1457285057858129,91.594,8429.5
62,1.144204026597845,91.772,8568.2
63,1.1430844705732888,91.734,8707.9
64,1.1427385871062803,91.734,8851.8
65,1.1410766403998256,91.79,8994.7
66,1.1429930507679424,91.682,9141.9
67,1.1425205283152782,91.754,9287.4
68,1.139931454378016,91.788,9433.0
69,1.1387511525312652,91.872,9579.3
70,1.1381762966780407,91.88,9726.2
71,1.1386332658245741,91.816,9875.7
72,1.1381607006882768,91.816,10021.5
73,1.1363188159435302,91.86,10162.7
74,1.1376942475433545,91.766,10308.6
75,1.1373177196668542,91.832,10448.0
76,1.1367110638972133,91.954,10590.6
77,1.1352142577281084,91.956,10736.4
78,1.1347914739033145,92.09,10883.4
79,1.1331535946682592,91.998,11026.8
80,1.13551235534346,92.01,11174.2
81,1.1306903017756273,92.18,11313.0
82,1.1349189750983586,92.004,11458.3
83,1.1320654891640938,92.106,11599.1
84,1.132742378412915,92.146,11738.1
85,1.1315555292017319,92.0,11881.0
86,1.13207398930474,92.022,12022.7
87,1.130671221276988,92.226,12163.8
88,1.1296168510871165,91.984,12307.1
89,1.1311636321684893,92.036,12448.0
90,1.1327174301342586,91.914,12588.0
91,1.1284166074469877,92.278,12731.5
92,1.1315088759907677,92.002,12878.6
93,1.1283703094248272,92.17,13017.9
94,1.128843819393831,92.166,13163.7
95,1.1278854306701505,92.112,13307.3
96,1.1272625005458627,92.18,13444.2
97,1.1261878284956792,92.29,13589.2
98,1.1250942354007145,92.322,13733.5
99,1.1267504978667744,92.266,13877.1
100,1.1259528688152733,92.258,14021.4
101,1.1210880822232923,92.438,14161.5
102,1.122578299868747,92.416,14302.1
103,1.122009554177599,92.38,14442.7
104,1.1209842405660684,92.584,14592.0
