network:,resnet,depth,20,Loss:CrossEntropy,Dataset:,cifar100,Optimizer:,adam_mod,LearningRate:,0.1,BatchSize:,128,EpochRange:,300
Epoch,Train_Loss,Train_Accuracy,Train_Time
1,4.513231684789633,2.302,79.6
2,4.358566391498536,3.67,154.8
3,4.3303567076583045,3.628,230.7
4,4.322009986623779,3.962,305.6
5,4.327016508487789,3.816,384.3
6,4.3167442836420005,4.088,462.9
7,4.314371273645659,3.944,541.6
8,4.306651743476653,4.042,620.3
9,4.309889068993766,3.978,699.4
10,4.318967214325809,3.84,777.9
11,4.225686957464194,5.178,856.2
12,4.171157108853235,6.472,934.2
13,4.114216984385419,7.806,1011.3
14,4.060191806929801,9.036,1090.2
15,4.021851395706996,9.856,1169.0
16,3.9988547859289456,10.364,1247.4
17,3.9857447080295105,10.88,1326.1
18,3.9746126902987586,10.954,1404.3
19,3.96142985753696,11.228,1483.9
20,3.954117995088972,11.304,1562.8
21,3.9513082735983613,11.43,1641.9
22,3.941229556222706,11.5,1720.6
23,3.9326511008660203,11.738,1799.7
24,3.9319102093386835,11.684,1878.4
25,3.926280977780862,11.852,1956.2
26,3.9210675171269176,11.96,2029.6
27,3.9163672192322325,11.782,2107.9
28,3.913832684002264,12.006,2186.9
29,3.9072147312066745,12.142,2265.7
30,3.903090951997606,12.148,2343.8
31,3.8526539326933644,13.464,2422.1
32,3.8375882578018072,14.05,2499.9
33,3.8308717234970056,13.946,2578.2
34,3.8249939738027274,14.174,2656.0
35,3.819467511018524,14.138,2734.3
36,3.8168063560105345,14.304,2809.3
37,3.812331842949323,14.528,2887.0
38,3.805424240239136,14.494,2961.7
39,3.7950654907909502,14.678,3040.5
40,3.7874851245099626,14.55,3118.8
41,3.774965864313228,15.018,3198.1
42,3.7678901911391627,15.042,3276.5
43,3.7583367824554443,15.438,3354.4
44,3.7464578072433277,15.698,3432.5
45,3.7404518810379535,15.81,3510.6
46,3.733865200101262,15.93,3589.6
47,3.725967004171113,15.904,3668.5
48,3.7185760154138747,16.26,3746.7
49,3.7151345767633384,16.232,3825.1
50,3.707281802926222,16.486,3903.6
51,3.688257003989061,16.878,3982.0
52,3.680765011731316,17.214,4060.6
53,3.6787357629107698,17.212,4138.7
54,3.675354300862383,17.378,4217.6
55,3.673824436524335,17.226,4295.9
56,3.671823327193785,17.326,4374.7
57,3.6676669151276884,17.538,4444.1
58,3.663216170142679,17.596,4524.3
59,3.6581857942254343,17.456,4603.2
60,3.655246873036065,17.602,4681.4
61,3.652521845019992,17.904,4760.8
62,3.641288536588859,17.968,4839.9
63,3.6359737901126636,18.166,4918.5
64,3.627106067774546,18.548,4997.5
65,3.6181304710905264,18.71,5076.2
66,3.610263829950786,18.908,5155.0
67,3.6034740493120743,19.112,5233.8
68,3.5916255721655648,19.218,5312.6
69,3.5845433336389645,19.448,5391.4
70,3.5744259503796276,19.748,5470.1
71,3.5664683309052605,19.72,5548.4
72,3.559821728245377,20.054,5626.9
73,3.552534677793303,20.346,5704.9
74,3.544514928022614,20.492,5782.8
75,3.537663698806177,20.388,5861.2
76,3.5293034049860963,20.548,5939.2
77,3.520757256871294,20.88,6018.0
78,3.512436948468923,21.18,6097.2
79,3.5044575816834977,21.398,6175.3
80,3.497477584482764,21.674,6253.4
81,3.490926191325078,21.41,6331.9
82,3.4860296962816086,21.496,6407.8
83,3.4768842809340534,21.962,6486.6
84,3.471442011616114,21.946,6561.1
85,3.464953599378581,22.0,6640.0
86,3.463841496221245,22.06,6718.3
87,3.4563176546560226,22.366,6791.9
88,3.4484984368619407,22.598,6871.2
89,3.4459169923192094,22.618,6949.8
90,3.439189897473816,22.742,7026.7
91,3.435604739372078,22.76,7104.6
92,3.4316999820797034,22.828,7183.4
93,3.425020033136353,23.06,7263.3
94,3.4211458836674997,23.344,7342.3
95,3.4144019879343563,23.45,7420.4
96,3.4066859547744324,23.606,7498.9
97,3.4062716186503925,23.64,7578.1
98,3.401036281414959,23.686,7655.4
99,3.396971889773903,23.946,7734.1
100,3.38766899194254,23.654,7812.8
101,3.3757108190785283,24.326,7891.4
102,3.373608981861788,24.35,7969.6
103,3.3728865845429015,24.426,8049.7
104,3.3695615618430135,24.534,8128.5
105,3.3699337686114297,24.394,8207.8
106,3.369260076366727,24.304,8287.0
107,3.3712229710405746,24.454,8365.5
108,3.365510663717909,24.674,8445.2
109,3.366867675805641,24.446,8523.9
110,3.3651315336642056,24.602,8599.5
111,3.3667157232913825,24.458,8678.1
112,3.3640979147323256,24.6,8756.4
113,3.36452634987014,24.678,8835.6
114,3.3617267133024953,24.66,8913.7
115,3.3650531622454944,24.508,8988.1
116,3.3624936491632096,24.65,9066.9
