network:,resnet,depth,20,Loss:CrossEntropy,Dataset:,cifar100,Optimizer:,sgd_mod,LearningRate:,0.1,BatchSize:,128,EpochRange:,300
Epoch,Train_Loss,Train_Accuracy,Train_Time
1,4.096546329805613,8.412,72.0
2,3.6484537179512744,16.992,140.3
3,3.2941137226036443,24.91,208.2
4,3.0340891463677293,31.494,276.9
5,2.850472128299801,36.406,346.0
6,2.722382745474501,40.08,411.6
7,2.6304020137738084,42.598,479.8
8,2.5686731856802236,44.504,547.4
9,2.512717797018378,46.284,615.2
10,2.474092901820112,47.542,683.7
11,2.1892358046358504,56.852,751.6
12,2.1089571815012667,59.238,820.6
13,2.075916416504804,60.226,889.5
14,2.0531374155103093,61.046,958.1
15,2.035122500661084,61.724,1026.9
16,2.0199817458686926,61.982,1095.9
17,2.0055117463821643,62.546,1165.9
18,1.9882937352675611,63.162,1234.6
19,1.9700228049017279,63.426,1303.8
20,1.9636567779209302,63.78,1372.4
21,1.9498447332235858,64.316,1439.7
22,1.9398405018364986,64.848,1508.4
23,1.9369131256552303,64.676,1576.1
24,1.9232080915699834,65.232,1645.0
25,1.9126142781713735,65.544,1713.1
26,1.906730029893958,65.892,1780.4
27,1.9051765413845287,65.756,1847.6
28,1.8921165801679996,66.358,1916.1
29,1.8890795232085011,66.238,1988.1
30,1.8788379531382295,66.66,2056.4
31,1.7866369995009868,70.196,2125.3
32,1.764414961990493,71.108,2194.7
33,1.7527879467400749,71.234,2263.2
34,1.7468336314496482,71.572,2332.9
35,1.7422992317268,71.68,2401.4
36,1.7379499899456874,71.854,2470.3
37,1.7326497485875474,72.018,2539.3
38,1.7308899429448121,72.076,2606.7
39,1.727224219790505,72.41,2675.4
40,1.724247788834145,72.47,2744.2
41,1.720984854051829,72.408,2812.6
42,1.716616819276834,72.608,2879.9
43,1.7173707509589622,72.654,2947.7
44,1.711383665918999,72.664,3016.8
45,1.7081833083916198,72.82,3084.1
46,1.7101787325671263,73.012,3152.9
47,1.702998888766979,72.92,3221.1
48,1.701593784724965,73.4,3290.6
49,1.7037911137656483,73.17,3360.2
50,1.701384737973323,73.132,3429.2
51,1.6880737808354371,73.73,3498.2
52,1.6829036446788428,73.894,3568.0
53,1.683592709434002,74.02,3636.3
54,1.6823851309164102,73.752,3705.1
55,1.6840121922895426,73.732,3772.9
56,1.681589172624261,73.982,3840.0
57,1.6767792390740437,74.03,3909.0
58,1.6810175204825828,73.886,3976.8
59,1.6838646169818576,73.938,4045.3
60,1.6775544747672118,73.978,4113.9
61,1.6812988888577123,74.04,4181.7
62,1.6792390002009203,74.032,4249.9
63,1.6773325363388452,74.04,4315.3
64,1.6768191491856295,74.234,4382.8
65,1.6790598941885906,73.94,4449.6
66,1.6788549411022449,74.034,4517.8
67,1.6756436891872863,74.202,4581.2
68,1.6780076795221899,74.028,4649.5
69,1.6726717735495409,74.354,4717.4
70,1.6755628643743217,74.0,4787.7
71,1.6742014616651608,74.012,4855.9
72,1.6765776323845318,74.224,4924.4
73,1.6752107234867029,74.296,4993.0
74,1.6764943276524849,74.002,5060.9
75,1.6743573828426468,74.08,5128.2
76,1.6752194830828615,74.192,5196.1
77,1.6724718348754337,74.168,5265.0
78,1.6774571643156164,73.884,5333.3
79,1.673119759925491,74.08,5401.4
80,1.6744059998056162,73.982,5469.7
81,1.6721582040762353,74.318,5537.7
82,1.673663825330222,74.172,5605.7
83,1.6729400898794384,74.324,5677.0
84,1.6703171382474777,74.26,5745.4
85,1.6719175040569452,74.218,5813.1
86,1.6751161210067438,73.974,5879.5
87,1.6721792827786692,74.416,5947.6
88,1.668822599189056,74.36,6015.1
89,1.669164796924347,74.232,6083.3
90,1.6694623890435298,74.276,6151.7
91,1.6699924722047108,74.26,6220.0
92,1.6702913756260787,74.356,6288.7
93,1.6707884567168059,74.216,6357.3
94,1.6693376372842228,74.478,6425.3
95,1.6692048039887568,74.186,6494.0
96,1.6681333252840944,74.392,6560.8
97,1.6684910229709753,74.494,6629.6
98,1.668986224457431,74.366,6696.6
99,1.6701558617984547,74.296,6765.0
100,1.6700417379589032,74.344,6833.0
