network:,resnet,depth,56,Loss:CrossEntropy,Dataset:,cifar100,Optimizer:,dngd,LearningRate:,0.1,BatchSize:,128,EpochRange:,300
Epoch,Train_Loss,Train_Accuracy,Train_Time
1,4.4766271632650625,2.686,113.0
2,4.1292489001818025,6.61,219.3
3,3.8296912009148953,13.1,328.8
4,3.57390287099287,18.876,438.9
5,3.381439649845328,23.364,548.2
6,3.208350899884158,27.96,660.9
7,3.05640697967061,31.782,772.6
8,2.9252637511933854,35.07,884.6
9,2.8216448616798577,37.776,995.1
10,2.723718543186822,40.78,1104.6
11,2.388812854771724,50.866,1214.6
12,2.294358830927583,53.828,1319.5
13,2.252027891176131,55.024,1426.0
14,2.212117871664979,56.326,1531.0
15,2.1827387279256834,57.138,1640.7
16,2.1463051330098106,58.224,1749.3
17,2.119860861002637,59.146,1858.9
18,2.0938860796906456,60.168,1968.6
19,2.0678746505161687,60.812,2078.8
20,2.0421474711669374,61.8,2185.3
21,2.0192747488046243,62.372,2295.5
22,1.9951387726132521,63.366,2404.0
23,1.975843985062426,63.756,2514.7
24,1.9540348626158732,64.536,2624.5
25,1.9351136120384003,65.336,2734.1
26,1.9204240994685142,65.542,2839.1
27,1.9013914540600594,66.328,2946.7
28,1.8811749146722467,66.734,3053.6
29,1.8628411332664587,67.342,3159.3
30,1.8489754181688705,67.96,3269.5
31,1.7076034158696909,73.254,3371.3
32,1.6543823901344747,75.086,3479.9
33,1.6340173007277272,76.066,3590.7
34,1.6201984251246733,76.388,3700.8
35,1.611107401530761,76.962,3806.1
36,1.5982485674226377,77.078,3916.5
37,1.588695504171464,77.648,4026.1
38,1.5791039357099996,77.85,4135.2
39,1.5769661881429764,78.032,4241.3
40,1.563484921479774,78.552,4351.3
41,1.555435449570951,78.762,4459.3
42,1.5479147379355662,79.042,4568.9
43,1.5484578060676983,79.076,4679.1
44,1.5376418057610006,79.53,4789.1
45,1.529935264831309,79.854,4898.7
46,1.5232988428276824,80.104,5008.5
47,1.5161959810939896,80.364,5116.5
48,1.5143622568501232,80.482,5223.4
49,1.5066998456140308,80.46,5333.6
50,1.5009187176404402,80.812,5443.7
51,1.4772731922471616,81.846,5553.6
52,1.4693169109046917,82.144,5661.6
53,1.4648540324872108,82.298,5768.6
54,1.4639649214342123,82.412,5878.7
55,1.4640542616319778,82.202,5982.4
56,1.4609149319436543,82.544,6092.9
57,1.4609893853097315,82.466,6202.6
58,1.458171848141019,82.606,6311.7
59,1.4564608573303808,82.754,6421.2
60,1.4557448439585887,82.768,6530.8
61,1.4548854202870518,82.948,6640.6
62,1.456201453952838,82.582,6750.7
63,1.4545937633270498,82.934,6861.3
64,1.4547918727025961,82.81,6971.6
65,1.4549283124601748,82.954,7082.1
66,1.4497793790934337,82.812,7192.0
67,1.4464743558098287,83.12,7302.2
68,1.450542606965965,83.0,7410.5
69,1.449477469829647,82.864,7521.1
70,1.4475015505500461,83.076,7626.9
71,1.447282839309224,83.156,7736.6
72,1.4459061567740672,82.956,7844.2
73,1.4449084204481082,83.232,7951.2
74,1.443276886439994,83.236,8061.1
75,1.4424601268890265,83.148,8171.1
76,1.4422500042049475,83.198,8278.7
77,1.4405400670702806,83.236,8388.4
78,1.443454456756182,83.322,8496.5
79,1.4399511509234337,83.18,8606.1
80,1.4361025439503858,83.468,8716.1
81,1.4381484143874224,83.512,8825.4
82,1.4388711629316324,83.378,8930.7
83,1.4367832241155911,83.384,9036.2
84,1.4360890053117368,83.654,9141.4
85,1.43342003797936,83.614,9247.4
86,1.4345868539322368,83.566,9347.6
87,1.4327401005093703,83.684,9450.0
88,1.4306398861853362,83.666,9559.2
89,1.4293447775609047,83.616,9668.4
90,1.427836151988915,83.918,9778.2
91,1.431227736156005,83.614,10752.8
92,1.427800412678048,83.912,10862.0
93,1.4283340590079423,83.666,10971.4
94,1.4270530649463233,83.962,11077.3
95,1.422611094801627,84.136,11184.1
96,1.425611193527651,83.94,11293.9
97,1.4237418208280792,84.022,11403.0
98,1.4233992544891279,83.988,11510.9
99,1.4255278363557118,83.784,11620.7
100,1.4236354449825823,83.802,11722.3
101,1.4212634587836692,84.15,11824.9
102,1.4185602649703355,84.236,11927.6
103,1.4178646132159416,84.2,12037.5
104,1.4214264386145354,84.132,12139.2
105,1.4161605661177574,84.248,12237.1
106,1.4173478519215303,84.186,12336.8
